"","Obs","Year","Month","Day","Name","NestName","ID","BandNumber","BandDate","BandDateJul","MeasurementDate","MeasurementDateJulYear","MeasurementDateJul","AgeField","CalcAge","CalcAgeInteger","HatchDate","HatchDateJul","HatchDateJulYear","AllSex","BillNT","TEC","BillWidth","BillDepth","Head","UpperBill","UBillSurface","TotBillSurface","Skull","Tarsus","WingChord","Primary7","TailLength","Weight","Condition","MaxTempMean1_11","MaxTempMean12_22","MeanMaxTempIncubation","MinTempMean1_11","MinTempMean12_22","MeanMinTempIncubation","PrecipSum1_11","PrecipSum12_22","PrecipSumIncubation","GDDSum1_11","GDDSum12_22","GDDSumIncubation","CDDSum1_11","CDDSum12_22","CDDSumIncubation"
"16",304,1993,5,6,"DK","LISH93","DK LISH93","685-80420","6/1/1993",152,"6/1/1993",1993152,152,26,26,26,"5/6/1993",126,1993126,"F",22.4,"33.7",12.4,13.4,74.6,"11.3","151.42","217.365","40.9",59.2,165,103,52,345,"0.12",23.08080808,17.67676768,17.01754386,6.212121212,5.353535354,4.795321637,1.5748,1.651,9.271,104,47,106,4,0,0
"17",316,1993,5,13,"LC","LIBE93","LC LIBE93","685-80428","6/7/1993",158,"6/7/1993",1993158,158,25,26,26,"5/13/1993",133,1993133,"F",21.4,"34.1",12.8,12.5,74.7,"12.7","158.75","215.6825","40.6",58.3,163,105,61,335,"0.12",17.57575758,19.39393939,21.43274854,3.98989899,6.919191919,5.906432749,1.6764,1.524,3.683,37,70,161,0,0,4
"18",315,1993,5,13,"KD","LIBE93","KD LIBE93","685-80427","6/7/1993",158,"6/7/1993",1993158,158,25,26.8,27,"5/13/1993",133,1993133,"F",21.6,"32.7",12.7,12,75.4,"11.1","133.2","201.9225","42.7",61.5,175,120,71,375,"0.12",17.57575758,19.39393939,21.43274854,3.98989899,6.919191919,5.906432749,1.6764,1.524,3.683,37,70,161,0,0,4
"19",348,1994,4,20,"BK","SPRU94","BK SPRU94","685-80463","5/19/1994",139,"5/19/1994",1994139,139,29,24.9,25,"4/20/1994",110,1994110,"F",20.3,"31.6",11.7,12.2,70.6,"11.3","137.86","188.81","39",59.2,148,89,37,330,"0.12",17.82828283,14.8989899,12.86549708,3.535353535,2.828282828,1.052631579,1.4986,4.0894,6.858,60,8,16,7,0,0
"20",362,1994,4,22,"QV","HART94","QV HART94","685-80478","5/20/1994",140,"5/20/1994",1994140,140,28,28,28,"4/22/1994",112,1994112,"F",22.7,"32.2",11.4,11,76.4,"9.5","104.5","180.32","44.2",60.2,190,127,78,372,"0.12",17.82828283,15.15151515,12.30994152,4.292929293,2.474747475,0.614035088,3.3782,2.3622,6.858,60,9,15,7,0,0
"21",364,1994,4,22,"ST","HART94","ST HART94","685-80480","5/20/1994",140,"5/20/1994",1994140,140,28,28,28,"4/22/1994",112,1994112,"F",22.6,"33.6",11.9,12.1,77.5,"11","133.1","201.6","43.9",60.7,194,131,76,380,"0.12",17.82828283,15.15151515,12.30994152,4.292929293,2.474747475,0.614035088,3.3782,2.3622,6.858,60,9,15,7,0,0
"22",371,1994,4,24,"ZM","MART94","ZM MART94","685-80487","5/20/1994",140,"5/20/1994",1994140,140,26,25.8,26,"4/24/1994",114,1994114,"F",22.8,"35",12.8,13.1,76.3,"12.2","159.82","226.625","41.3",60.6,162,105,54,367,"0.12",18.63636364,15.75757576,12.48538012,5.101010101,2.676767677,0.614035088,3.3782,2.3622,6.2738,60,12,15,7,0,0
"23",385,1994,4,26,"WO","WEGO94","WO WEGO94","925-45610","5/24/1994",144,"5/24/1994",1994144,144,28,28.7,29,"4/26/1994",116,1994116,"F",24,"34.9",12.6,12.9,78.6,"10.9","140.61","222.4875","43.7",61,201,141,96,350,"0.12",18.28282828,15.3030303,13.88888889,4.696969697,3.686868687,1.666666667,2.9718,3.175,5.2578,50,18,39,7,0,0
"24",405,1994,5,8,"RS","BURL94","RS BURL94","925-45631","6/3/1994",154,"6/3/1994",1994154,154,26,25.3,25,"5/8/1994",128,1994128,"F",21.7,"32.2",11.1,12.2,73.2,"10.5","128.1","187.565","41",56.3,147,95,47,353,"0.13",15.15151515,19.39393939,16.66666667,3.535353535,6.060606061,3.421052632,3.6068,1.6002,4.7498,18,75,67,0,1,7
"25",474,1995,4,25,"VL","DART95","VL DART95","925-62207","5/25/1995",145,"5/25/1995",1995145,145,30,27,27,"4/25/1995",115,1995115,"F",25.2,"36.5",14.5,14.8,82.3,"11.3","167.24","267.3625","45.8",65,186,124,73,422,"0.12",15.45454545,16.66666667,9.970760234,2.97979798,5.151515152,-1.052631579,1.1176,3.048,3.2512,17,43,10,0,0,0
"26",455,1995,4,27,"CE","WAHA95","CE WAHA95","925-45688","5/22/1995",142,"5/22/1995",1995142,142,25,25.1,25,"4/27/1995",117,1995117,"F",20.9,"31.6",13.5,12.6,74.7,"10.7","134.82","206.19","43.1",59.8,149,92,43,395,"0.12",15.85858586,17.52525253,11.08187135,3.131313131,6.767676768,0.116959064,1.0922,3.0988,2.9972,17,61,11,0,0,0
"27",487,1995,5,5,"IX","MUDD95","IX MUDD95","925-62220","6/1/1995",152,"6/1/1995",1995152,152,27,26.7,27,"5/5/1995",125,1995125,"F",25,"37.2",12.9,14.1,79.7,"12.2","172.02","251.1","42.5",61.1,182,124,66,390,"0.12",16.66666667,20.35353535,14.70760234,5.555555556,7.424242424,2.339181287,3.048,1.397,1.5748,47,80,26,0,0,0
"28",570,1997,4,20,"MP","JSUP97","MP JSUP97","925-62309","5/15/1997",135,"5/15/1997",1997135,135,25,25.6,26,"4/20/1997",110,1997110,"F",22.3,"35.6",13.1,13.3,78,"13.3","176.89","234.96","42.4",60.4,159,100,54,390,"0.12",13.08080808,15.80808081,9.619883041,0.101010101,3.383838384,-1.228070175,1.397,2.5908,1.27,1,26,14,0,0,0
"29",638,1998,4,16,"J0","JSUP98","J0 JSUP98","925-62381","5/15/1998",135,"5/15/1998",1998135,135,29,26.7,27,"4/16/1998",106,1998106,"F",23.3,"34",12.9,12.8,75.4,"10.7","136.96","218.45","41.4",59.1,176,123,65,345,"0.12",15.50505051,17.12121212,15.20467836,3.333333333,6.818181818,3.625730994,4.6736,2.667,5.2832,18,78,84,0,0,13
"30",635,1998,4,16,"G7","JSUP98","G7 JSUP98","925-62378","5/15/1998",135,"5/15/1998",1998135,135,29,27.8,28,"4/16/1998",106,1998106,"F",24.9,"38",12.3,13,79.2,"13.1","170.3","240.35","41.2",58,195,137,82,358,"0.12",15.50505051,17.12121212,15.20467836,3.333333333,6.818181818,3.625730994,4.6736,2.667,5.2832,18,78,84,0,0,13
"31",636,1998,4,16,"H8","JSUP98","H8 JSUP98","925-62379","5/15/1998",135,"5/15/1998",1998135,135,29,27.8,28,"4/16/1998",106,1998106,"F",24.7,"37.6",10.9,12.7,80.6,"12.9","163.83","221.84","43",60,197,133,84,370,"0.12",15.50505051,17.12121212,15.20467836,3.333333333,6.818181818,3.625730994,4.6736,2.667,5.2832,18,78,84,0,0,13
"32",639,1998,4,16,"K1","JSUP98","K1 JSUP98","925-62382","5/15/1998",135,"5/15/1998",1998135,135,29,27.6,28,"4/16/1998",106,1998106,"F",25.9,"39.5",11.9,13.3,81.7,"13.6","180.88","248.85","42.2",58.8,192,133,81,405,"0.13",15.50505051,17.12121212,15.20467836,3.333333333,6.818181818,3.625730994,4.6736,2.667,5.2832,18,78,84,0,0,13
"33",650,1998,4,21,"V2","DBAR98","V2 DBAR98","925-62392","5/19/1998",139,"5/19/1998",1998139,139,28,28,28,"4/21/1998",111,1998111,"F",24,"35.3",12.8,13.2,79.3,"11.3","149.16","229.45","44",60.7,176,122,70,415,"0.12",15.05050505,19.19191919,12.63157895,1.515151515,11.36363636,1.812865497,1.0922,7.0358,8.7122,22,107,24,0,1,0
"34",653,1998,4,23,"Y5","HABL98","Y5 HABL98","925-62395","5/19/1998",139,"5/19/1998",1998139,139,26,25.4,25,"4/23/1998",113,1998113,"F",22.9,"35.3",12.3,13.1,76.9,"12.4","162.44","224.155","41.6",62.9,153,95,52,440,"0.12",15.90909091,19.6969697,13.42105263,3.737373737,10.4040404,1.754385965,1.1684,6.7818,8.4582,44,102,27,0,1,0
"35",670,1998,4,27,"M4","HANS98","M4 HANS98","805-08909","5/22/1998",142,"5/22/1998",1998142,142,25,24.8,25,"4/27/1998",117,1998117,"F",21.2,"33.3",12.6,12.9,72.2,"12.1","156.09","212.2875","38.9",60.6,146,85,36,387,"0.12",17.12121212,22.52525253,14.26900585,6.818181818,10.25252525,2.280701754,2.667,5.207,9.3472,78,128,31,0,10,0
"36",688,1998,4,28,"B4","ROGO98","B4 ROGO98","805-08924","5/26/1998",146,"5/26/1998",1998146,146,28,29,29,"4/28/1998",118,1998118,"F",24.4,"36.3",12.5,13.6,80.3,"11.9","161.84","236.8575","44",57.1,204,150,95,425,"0.13",18.83838384,22.67676768,14.00584795,8.333333333,10.05050505,1.900584795,1.8796,5.207,7.8994,94,128,31,1,10,0
"37",702,1998,4,30,"U3","CCLI98","U3 CCLI98","805-08943","5/28/1998",148,"5/28/1998",1998148,148,28,25.3,25,"4/30/1998",120,1998120,"F",21.3,"32.6",12.5,11.9,71.2,"11.3","134.47","198.86","38.6",57.1,149,99,44,320,"0.12",20.25252525,24.29292929,15.02923977,10.85858586,9.747474747,2.16374269,2.9718,4.1402,5.7912,113,141,35,1,12,0
"38",713,1999,4,19,"G0","KNOL99","G0 KNOL99","805-08949","5/18/1999",138,"5/18/1999",1999138,138,29,25.4,25,"4/19/1999",109,1999109,"F",21,"33.5",13.2,12.6,73.4,"12.5","157.5","216.075","39.9",57.1,152,97,50,335,"0.12",11.96969697,21.36363636,12.92397661,-1.414141414,7.424242424,0.935672515,2.1082,0.8382,3.7592,0,92,26,0,4,0
"39",714,1999,4,19,"I2","KNOL99","I2 KNOL99","805-08950","5/18/1999",138,"5/18/1999",1999138,138,29,26.4,26,"4/19/1999",109,1999109,"F",22.8,"35.9",13.3,12,77,"13.1","157.2","227.0675","41.1",59,177,117,63,380,"0.12",11.96969697,21.36363636,12.92397661,-1.414141414,7.424242424,0.935672515,2.1082,0.8382,3.7592,0,92,26,0,4,0
"40",715,1999,4,19,"H1","KNOL99","H1 KNOL99","805-08951","5/18/1999",138,"5/18/1999",1999138,138,29,26.5,26,"4/19/1999",109,1999109,"F",24,"36.8",13.7,13.6,78.4,"12.8","174.08","251.16","41.6",59.1,169,117,65,415,"0.13",11.96969697,21.36363636,12.92397661,-1.414141414,7.424242424,0.935672515,2.1082,0.8382,3.7592,0,92,26,0,4,0
"41",708,1999,4,19,"B5","MNDY99","B5 MNDY99","805-08953","5/17/1999",137,"5/17/1999",1999137,137,28,26.9,27,"4/19/1999",109,1999109,"F",19.3,"33.3",11.1,11.4,75.7,"14","159.6","187.3125","42.4",58.6,177,118,75,350,"0.12",11.96969697,21.36363636,12.92397661,-1.414141414,7.424242424,0.935672515,2.1082,0.8382,3.7592,0,92,26,0,4,0
"42",720,1999,4,20,"N7","HAPA99","N7 HAPA99","805-08960","5/18/1999",138,"5/18/1999",1999138,138,28,26.4,26,"4/20/1999",110,1999110,"F",22.8,"35.3",13.7,12.7,75.7,"12.5","158.75","232.98","40.4",59.3,178,120,60,345,"0.12",12.52525253,21.26262626,12.25146199,-1.414141414,7.575757576,0.701754386,1.8796,0.8382,3.7592,0,92,22,0,4,0
"43",730,1999,4,21,"X7","MMUR99","X7 MMUR99","085-08970","5/19/1999",139,"5/19/1999",1999139,139,28,25.5,25,"4/21/1999",111,1999111,"F",21.2,"34",12.3,13,73.1,"12.8","166.4","215.05","39.1",53.1,160,103,46,295,"0.13",13.58585859,21.06060606,12.13450292,-1.212121212,7.525252525,0.116959064,1.8796,0.8382,3.683,1,91,19,0,4,0
"44",728,1999,4,21,"V5","HAWA99","V5 HAWA99","085-08968","5/19/1999",139,"5/19/1999",1999139,139,28,26.5,27,"4/21/1999",111,1999111,"F",21.9,"34.2",12.6,12.8,75.3,"12.3","157.44","217.17","41.1",59.3,175,119,65,390,"0.12",13.58585859,21.06060606,12.13450292,-1.212121212,7.525252525,0.116959064,1.8796,0.8382,3.683,1,91,19,0,4,0
"45",724,1999,4,22,"R1","HAWA99","R1 HAWA99","085-08964","5/19/1999",139,"5/19/1999",1999139,139,27,25.6,26,"4/22/1999",112,1999112,"F",21.4,"34.2",13.5,13.2,74.5,"12.8","168.96","228.285","40.3",59.6,157,100,52,393,"0.12",14.54545455,20.65656566,11.9005848,-0.909090909,7.171717172,-0.321637427,1.8796,0.8382,3.683,4,88,10,0,4,0
"46",735,1999,4,22,"C7","CCPL99","C7 CCPL99","085-08975","5/20/1999",140,"5/20/1999",1999140,140,28,26.4,26,"4/22/1999",112,1999112,"F",23.6,"36.9",12.5,12.3,77.2,"13.3","163.59","228.78","40.3",59.5,167,112,67,375,"0.12",14.54545455,20.65656566,11.9005848,-0.909090909,7.171717172,-0.321637427,1.8796,0.8382,3.683,4,88,10,0,4,0
"47",733,1999,4,22,"A5","CCPL99","A5 CCPL99","085-08973","5/20/1999",140,"5/20/1999",1999140,140,28,26.9,27,"4/22/1999",112,1999112,"F",24.4,"37.3",12.8,14,77.6,"12.9","180.6","249.91","40.3",58.9,177,120,73,395,"0.12",14.54545455,20.65656566,11.9005848,-0.909090909,7.171717172,-0.321637427,1.8796,0.8382,3.683,4,88,10,0,4,0
"48",734,1999,4,22,"B6","CCPL99","B6 CCPL99","085-08974","5/20/1999",140,"5/20/1999",1999140,140,28,27,27,"4/22/1999",112,1999112,"F",23.2,"36.7",11.9,12.6,78.9,"13.5","170.1","224.7875","42.2",61.6,177,119,76,410,"0.12",14.54545455,20.65656566,11.9005848,-0.909090909,7.171717172,-0.321637427,1.8796,0.8382,3.683,4,88,10,0,4,0
"49",740,1999,4,22,"H2","MART99","H2 MART99","805-08980","5/20/1999",140,"5/20/1999",1999140,140,28,28,28,"4/22/1999",112,1999112,"F",21.8,"34.1",13.6,13,75.7,"12.3","159.9","226.765","41.6",58.9,185,130,77,357,"0.12",14.54545455,20.65656566,11.9005848,-0.909090909,7.171717172,-0.321637427,1.8796,0.8382,3.683,4,88,10,0,4,0
"50",743,1999,4,22,"K5","MART99","K5 MART99","805-08983","5/20/1999",140,"5/20/1999",1999140,140,28,28,28,"4/22/1999",112,1999112,"F",22,"35.9",13,12.9,77.3,"13.9","179.31","232.4525","41.4",59.7,187,126,80,362,"0.12",14.54545455,20.65656566,11.9005848,-0.909090909,7.171717172,-0.321637427,1.8796,0.8382,3.683,4,88,10,0,4,0
"51",744,1999,4,23,"L6","EHCR99","L6 EHCR99","805-08984","5/21/1999",141,"5/21/1999",1999141,141,28,28,28,"4/23/1999",113,1999113,"F",23.8,"37.5",13.2,12.9,79.2,"13.7","176.73","244.6875","41.7",60.6,198,139,82,427,"0.12",15.3030303,20.05050505,11.11111111,-0.909090909,7.373737374,-0.116959064,1.8796,0.8382,3.9116,9,84,2,0,4,0
"52",746,1999,4,23,"N8","EHCR99","N8 EHCR99","805-08986","5/21/1999",141,"5/21/1999",1999141,141,28,28,28,"4/23/1999",113,1999113,"F",24.4,"36.6",13.5,13.2,77.5,"12.2","161.04","244.305","40.9",59.4,194,136,86,400,"0.12",15.3030303,20.05050505,11.11111111,-0.909090909,7.373737374,-0.116959064,1.8796,0.8382,3.9116,9,84,2,0,4,0
"53",736,1999,4,24,"D8","HART99","D8 HART99","085-08976","5/20/1999",140,"5/20/1999",1999140,140,26,26,26,"4/24/1999",114,1999114,"F",25.4,"39.7",12.1,13.8,80.3,"14.3","197.34","257.0575","40.6",58.2,189,128,80,395,"0.13",16.56565657,19.8989899,11.11111111,-0.858585859,6.868686869,0.087719298,0.9652,0.8382,4.8768,20,77,2,0,4,0
"54",737,1999,4,24,"E9","HART99","E9 HART99","085-08977","5/20/1999",140,"5/20/1999",1999140,140,26,26,26,"4/24/1999",114,1999114,"F",25.5,"36.7",12.4,13.3,79,"11.2","148.96","235.7975","42.3",58.8,181,123,74,375,"0.12",16.56565657,19.8989899,11.11111111,-0.858585859,6.868686869,0.087719298,0.9652,0.8382,4.8768,20,77,2,0,4,0
"55",738,1999,4,24,"F0","HART99","F0 HART99","085-08978","5/20/1999",140,"5/20/1999",1999140,140,26,26,26,"4/24/1999",114,1999114,"F",26,"40.3",12.5,14.1,82,"14.3","201.63","267.995","41.7",62.3,187,129,70,425,"0.12",16.56565657,19.8989899,11.11111111,-0.858585859,6.868686869,0.087719298,0.9652,0.8382,4.8768,20,77,2,0,4,0
"56",739,1999,4,24,"G1","HART99","G1 HART99","085-08979","5/20/1999",140,"5/20/1999",1999140,140,26,26,26,"4/24/1999",114,1999114,"F",23.5,"36.1",13,12.9,78.6,"12.6","162.54","233.7475","42.5",59.5,182,125,68,383,"0.12",16.56565657,19.8989899,11.11111111,-0.858585859,6.868686869,0.087719298,0.9652,0.8382,4.8768,20,77,2,0,4,0
"57",752,1999,4,27,"T4","EPLN99","T4 EPLN99","805-08992","5/24/1999",144,"5/24/1999",1999144,144,27,27,27,"4/27/1999",117,1999117,"F",23.1,"35.5",12.2,12,77.5,"12.4","148.8","214.775","42",59.1,185,125,70,402,"0.12",20.1010101,19.7979798,10.90643275,3.737373737,6.161616162,-0.964912281,0,0.8382,4.7498,63,70,0,4,0,0
"58",754,1999,4,27,"V6","EPLN99","V6 EPLN99","805-08994","5/24/1999",144,"5/24/1999",1999144,144,27,27,27,"4/27/1999",117,1999117,"F",22.2,"32.8",12.3,13.1,75.2,"10.6","138.86","208.28","42.4",58.2,169,115,55,350,"0.12",20.1010101,19.7979798,10.90643275,3.737373737,6.161616162,-0.964912281,0,0.8382,4.7498,63,70,0,4,0,0
"59",755,1999,4,27,"W7","HABL99","W7 HABL99","805-08995","5/24/1999",144,"5/24/1999",1999144,144,27,26.9,27,"4/27/1999",117,1999117,"F",22.8,"37",12.7,12.8,78.1,"14.2","181.76","235.875","41.1",61.6,181,122,72,453,"0.12",20.1010101,19.7979798,10.90643275,3.737373737,6.161616162,-0.964912281,0,0.8382,4.7498,63,70,0,4,0,0
"60",759,1999,4,29,"C8","HOMT99","C8 HOMT99","545-64985","5/26/1999",146,"5/26/1999",1999146,146,27,27,27,"4/29/1999",119,1999119,"F",22,"32.9",12.8,12.6,73.1,"10.9","137.34","208.915","40.2",55.3,156,101,38,298,"0.12",21.21212121,20.1010101,11.05263158,6.616161616,5.707070707,-1.111111111,0.7874,0.2794,3.7338,88,68,0,4,3,0
"61",760,1999,4,29,"D9","HOMT99","D9 HOMT99","545-64986","5/26/1999",146,"5/26/1999",1999146,146,27,27,27,"4/29/1999",119,1999119,"F",24.6,"36.6",12.3,12.6,78.2,"12","151.2","227.835","41.6",58.3,175,119,63,360,"0.12",21.21212121,20.1010101,11.05263158,6.616161616,5.707070707,-1.111111111,0.7874,0.2794,3.7338,88,68,0,4,3,0
"62",761,1999,4,30,"E0","CARD99","E0 CARD99","545-64987","5/26/1999",146,"5/26/1999",1999146,146,26,26,26,"4/30/1999",120,1999120,"F",21.7,"32.8",13,13.9,75.3,"11.1","154.29","220.58","42.5",NA,162,108,60,358,"?",21.36363636,20.2020202,11.60818713,7.424242424,5.303030303,-0.81871345,0.8382,0.2286,3.7338,92,65,0,4,3,0
"63",762,1999,5,1,"H3","CCLI99","H3 CCLI99","835-99501","5/31/1999",151,"5/31/1999",1999151,151,30,27.2,27,"5/1/1999",121,1999121,"F",25,"36.2",12.6,13.1,78,"11.2","146.72","232.585","41.8",58.3,180,130,73,343,"0.12",21.26262626,20.85858586,12.39766082,7.575757576,5.808080808,-0.643274854,0.8382,0.2286,2.9464,92,74,1,4,3,0
"64",767,1999,5,5,"M8","EDB299","M8 EDB299","835-99506","5/31/1999",151,"5/31/1999",1999151,151,26,26,26,"5/5/1999",125,1999125,"F",23.7,"36.7",14.5,13.2,79.2,"13","171.6","254.1475","42.5",60.9,170,117,69,410,"0.12",19.8989899,21.56565657,14.59064327,6.868686869,9.444444444,0.584795322,0.8382,0.9398,2.8956,77,111,29,4,4,0
"65",775,1999,5,8,"T5","MANN99","T5 MANN99","835-99513","6/2/1999",153,"6/2/1999",1999153,153,25,25.2,25,"5/8/1999",128,1999128,"F",19.9,"29.7",11.8,11.4,69.2,"9.8","111.72","172.26","39.5",51.4,149,98,38,260,"0.12",19.7979798,20.70707071,16.75438596,6.161616162,8.585858586,2.602339181,0.8382,1.2192,1.905,70,94,78,0,4,4
"66",778,1999,5,11,"W8","BLAC99","W8 BLAC99","835-99516","6/7/1999",158,"6/7/1999",1999158,158,27,25.9,26,"5/11/1999",131,1999131,"F",22.4,"34.1",12.2,12.3,75.5,"11.7","143.91","208.8625","41.4",59.1,161,108,57,290,"0.11",20.2020202,22.97979798,17.69005848,5.303030303,9.646464646,3.684210526,0.2286,0.9906,2.7178,65,127,92,3,14,4
"67",822,2000,4,26,"N1","HANS00","N1 HANS00","835-99556","5/24/2000",145,"5/24/2000",2000145,145,28,27.5,27,"4/26/2000",117,2000117,"F",22.7,"36.2",12.7,12.2,76.4,"13.5","164.7","225.345","40.2",60.5,191,132,78,372,"0.12",17.37373737,23.48484848,10.78947368,3.98989899,10.1010101,1.111111111,1.4478,6.9596,7.4676,50,140,17,4,30,0
