Species,Population,LifeStage,Year,ID,Name,NestName,Sex,Age,CalcAge,BandDate,BandJul,HatchJul,BandedBroodSize,WithinBroodSizeRank,Mass,Tarsus,BillDepth,BillWidth,BillNT,TEC,Skull,Primary7,ExposedPrimary7,WingChord,TailLength
Corvus brachyrhynchos,Ithaca,nestling,2004,19 HAWA04,19,HAWA04,F,23,23,5/19/2004,140,117,5,2,380,59.2,12.9,12.8,20.6,30.2,42.8,91,46,150,45
Corvus brachyrhynchos,Ithaca,nestling,2004,20 HAWA04,20,HAWA04,F,23,23,5/19/2004,140,117,5,3,325,55.8,12.8,12.6,20.3,32.6,38.7,82,40,141,33
Corvus brachyrhynchos,Ithaca,nestling,2004,31 HAWA04,31,HAWA04,F,23,23,5/19/2004,140,117,5,4,318,55.2,12.2,11.4,19.7,30.7,40.6,78,39,134,30
Corvus brachyrhynchos,Ithaca,nestling,2004,SP-WO HAWA04,SP-WO,HAWA04,M,22,22,5/19/2004,140,118,5,5,215,52,11.6,12.8,17.5,29.4,36.2,47,20,98,11
Corvus brachyrhynchos,Ithaca,nestling,2004,42 ROWA04,42,ROWA04,F,24,25,5/20/2004,141,116,4,3,358,58.5,12.5,13.5,23.2,34.1,40.1,92,43,152,44
Corvus brachyrhynchos,Ithaca,nestling,2004,53 ROWA04,53,ROWA04,F,24,26,5/20/2004,141,115,4,2,357,59.4,13.6,13.4,23.3,34.1,40.4,101,38,159,53
Corvus brachyrhynchos,Ithaca,nestling,2004,64 ROWA04,64,ROWA04,F,24,25,5/20/2004,141,116,4,1,342,60.1,13,13.3,22.4,32.3,41.2,95,45,152,53
Corvus brachyrhynchos,Ithaca,nestling,2004,75 ROWA04,75,ROWA04,F,24,25,5/20/2004,141,116,4,4,317,57.2,12.5,12.6,21.2,33,39.4,80,33,137,35
Corvus brachyrhynchos,Ithaca,nestling,2004,86 MSAL04,86,MSAL04,M,32,32,5/20/2004,141,109,3,1,425,61.8,14.4,13.3,26.4,39.8,44.9,162,120,224,105
Corvus brachyrhynchos,Ithaca,nestling,2004,97 MSAL04,97,MSAL04,F,32,32,5/20/2004,141,109,3,2,360,59.3,13.2,12.3,23.5,35.8,42.2,142,102,204,84
Corvus brachyrhynchos,Ithaca,nestling,2004,SA-RA MSAL04,SA-RA,MSAL04,F,31,31,5/20/2004,141,110,3,3,147,47.4,10.1,10.4,18.4,27.2,37.6,60,28,106,17
Corvus brachyrhynchos,Ithaca,nestling,2004,09 CAFO04,9,CAFO04,M,24,25,5/20/2004,141,116,4,1,407,59.4,12.4,13.2,23.7,36.4,42.3,94,39,152,50
Corvus brachyrhynchos,Ithaca,nestling,2004,10 CAFO04,10,CAFO04,F,24,24,5/20/2004,141,117,4,3,297,55.3,11.8,13,21.8,32.3,39.6,74,29,130,32
Corvus brachyrhynchos,Ithaca,nestling,2004,21 CAFO04,21,CAFO04,F,24,24,5/20/2004,141,117,4,4,297,53.1,11.7,12.2,21,32.4,40.3,69,26,123,27
Corvus brachyrhynchos,Ithaca,nestling,2004,32 CAFO04,32,CAFO04,M,24,25,5/20/2004,141,116,4,2,333,55.8,12.2,12.7,22,35.4,40.1,85,32,144,42
Corvus brachyrhynchos,Ithaca,nestling,2004,43 BRBI04,43,BRBI04,F,26,26,5/21/2004,142,116,3,3,390,58.3,13.4,13.5,23.6,36.4,40.1,108,59,168,62
Corvus brachyrhynchos,Ithaca,nestling,2004,54 BRBI04,54,BRBI04,M,26,26,5/21/2004,142,116,3,1,408,61.8,13,11.7,23.6,37.2,40,110,61,172,56
Corvus brachyrhynchos,Ithaca,nestling,2004,65 BRBI04,65,BRBI04,F,26,26,5/21/2004,142,116,3,2,400,59.1,13,12.8,22.7,34.4,41.7,111,65,171,60
Corvus brachyrhynchos,Ithaca,nestling,2004,76 EPIN04,76,EPIN04,F,27,27,5/23/2004,144,117,3,1,425,59.5,12.6,11.6,22.9,33.8,43.2,129,84,182,79
Corvus brachyrhynchos,Ithaca,nestling,2004,87 EPIN04,87,EPIN04,F,27,26,5/23/2004,144,118,3,3,412,57.2,11.8,10.2,21.5,33.4,41.2,112,71,171,57
Corvus brachyrhynchos,Ithaca,nestling,2004,98 EPIN04,98,EPIN04,M,27,26,5/23/2004,144,118,3,2,417,59.3,12.8,13.2,23.1,34.4,43.4,118,64,166,51
Corvus brachyrhynchos,Ithaca,nestling,2004,AZ NEEL04,AZ,NEEL04,F,27,27,5/24/2004,145,118,1,1,366,54.2,12.9,11.7,20.7,32.8,39.4,125,75,180,70
Corvus brachyrhynchos,Ithaca,nestling,2004,BY SWPG04,BY,SWPG04,M,31,31,5/24/2004,145,114,1,1,500,66,14.5,14.2,25.8,40.2,45.9,150,102,215,98
Corvus brachyrhynchos,Ithaca,nestling,2004,CX SLIM04,CX,SLIM04,M,26,26,5/25/2004,146,120,4,2,415,58.8,13.6,14.5,24,36.5,40.8,111,64,168,61
Corvus brachyrhynchos,Ithaca,nestling,2004,DW SLIM04,DW,SLIM04,F,26,26,5/25/2004,146,120,4,4,320,54.4,12.4,13.2,23.4,34.3,39.7,99,48,155,54
Corvus brachyrhynchos,Ithaca,nestling,2004,FU SLIM04,FU,SLIM04,M,26,26,5/25/2004,146,120,4,3,387,55.5,13.3,13.7,23.2,36.5,38.1,110,60,164,57
Corvus brachyrhynchos,Ithaca,nestling,2004,HS SLIM04,HS,SLIM04,M,26,26,5/25/2004,146,120,4,1,442,60.8,13.2,13.4,23.8,35.8,41.1,116,70,171,66
Corvus brachyrhynchos,Ithaca,nestling,2004,IR SWEG04,IR,SWEG04,M,27,27,5/26/2004,147,120,2,2,405,57,13.1,13.9,24.5,38.5,42.3,130,80,181,70
Corvus brachyrhynchos,Ithaca,nestling,2004,JQ SWEG04,JQ,SWEG04,F,27,26,5/26/2004,147,121,2,1,452,57.7,12.1,12.9,22.8,34.8,41.4,111,60,170,60
Corvus brachyrhynchos,Ithaca,nestling,2004,KP ORHA04,KP,ORHA04,F,29,28,5/26/2004,147,119,1,1,452,61.6,14.3,13,24.6,36.6,43.7,133,92,193,89
Corvus brachyrhynchos,Ithaca,nestling,2004,NM WARO04,NM,WARO04,F,29,28,5/31/2004,152,124,5,4,330,57.2,12.5,13.1,23.4,35.1,41.7,136,94,186,79
Corvus brachyrhynchos,Ithaca,nestling,2004,QJ WARO04,QJ,WARO04,F,29,28,5/31/2004,152,124,5,1,329,59.1,12.9,13.2,25,37.3,40.5,132,98,190,82
Corvus brachyrhynchos,Ithaca,nestling,2004,TG WARO04,TG,WARO04,F,29,28,5/31/2004,152,124,5,2,337,58.4,12.4,13.5,24.3,34.9,43.1,139,97,195,83
Corvus brachyrhynchos,Ithaca,nestling,2004,UF WARO04,UF,WARO04,F,29,28,5/31/2004,152,124,5,5,307,56.8,13.2,11.9,23.2,34.7,40.5,132,88,189,79
Corvus brachyrhynchos,Ithaca,nestling,2004,WD WARO04,WD,WARO04,F,29,27,5/31/2004,152,125,5,3,302,57.3,13,12.2,23.4,34.1,40.6,124,85,171,68
Corvus brachyrhynchos,Ithaca,nestling,2004,BX WKAY04,BX,WKAY04,F,27,27,6/1/2004,153,126,3,2,308,54.4,11.5,12.6,21.8,35.1,38.1,122,76,172,68
Corvus brachyrhynchos,Ithaca,nestling,2004,CW WKAY04,CW,WKAY04,F,27,27,6/1/2004,153,126,3,1,311,56.6,11.6,12.4,22.4,34.2,42,121,73,174,73
Corvus brachyrhynchos,Ithaca,nestling,2004,DV WKAY04,DV,WKAY04,F,27,26,6/1/2004,153,127,3,3,306,53.8,12.6,14.8,22.1,34.7,40.1,118,75,168,62
Corvus brachyrhynchos,Ithaca,nestling,2004,LO SEPG04,LO,SEPG04,F,28,27,6/1/2004,153,126,2,1,397,57,12.4,11.9,22.3,34.5,41.7,126,81,182,72
Corvus brachyrhynchos,Ithaca,nestling,2004,MN SEPG04,MN,SEPG04,F,28,27,6/1/2004,153,126,2,2,395,54.3,12.9,12.1,22.1,35.4,40.1,125,80,181,71
Corvus brachyrhynchos,Ithaca,nestling,2004,EU RICH04,EU,RICH04,F,31,31,6/3/2004,155,124,1,,277,52.2,12.8,13.7,23.4,36.8,40.7,151,115,207,96
Corvus brachyrhynchos,Ithaca,nestling,2004,FT CLAR04,FT,CLAR04,M,28,28,6/6/2004,158,130,3,2,435,60.2,13.5,12.8,25.7,37.6,43.5,134,93,188,77
Corvus brachyrhynchos,Ithaca,nestling,2004,GS CLAR04,GS,CLAR04,M,29,29,6/6/2004,158,129,3,1,450,61.8,14.7,13.3,26.3,34.4,50.5,152,112,209,99
Corvus brachyrhynchos,Ithaca,nestling,2004,IP CLAR04,IP,CLAR04,F,28,28,6/6/2004,158,130,3,3,372,60.1,13.2,12.6,23.2,34.9,43.3,136,93,189,84
Corvus brachyrhynchos,Ithaca,nestling,2004,BW RICH04,BW,RICH04,M,39,39,6/11/2004,163,124,1,,300,52.5,13.4,12.5,25.9,38,43.2,163,102,218,92
Corvus brachyrhynchos,Ithaca,nestling,2004,CV ECR204,CV,ECR204,F,26,26,6/14/2004,166,140,1,1,383,58.2,13,12.7,22.9,35.7,41.7,110,68,169,58
Corvus brachyrhynchos,Ithaca,nestling,2004,KO LRI204,KO,LRI204,M,26,26,6/27/2004,179,153,2,1,380,57,13.9,12,23.4,36,42,125,90,176,46
Corvus brachyrhynchos,Ithaca,nestling,2004,LN LRI204,LN,LRI204,F,26,26,6/27/2004,179,153,2,2,267,54.1,12.5,11.7,19.8,30.9,39.3,111,78,167,42
Corvus brachyrhynchos,Ithaca,nestling,2005,AW TRUP05,AW,TRUP05,M,25,25,5/13/2005,133,108,4,2,260,58.5,11,11.6,21.5,33,42.1,91,47,142,36
Corvus brachyrhynchos,Ithaca,nestling,2005,BD TRUP05,BD,TRUP05,M,25,27,5/13/2005,133,106,4,1,350,58.7,12.3,12.3,22.7,30.2,46.7,126,64,178,60
Corvus brachyrhynchos,Ithaca,nestling,2005,AO-WS TRUP05,AO-WS,TRUP05,M,25,24,5/13/2005,133,109,4,4,245,55.4,11.1,11,21.1,33.1,37.7,74,32,132,23
Corvus brachyrhynchos,Ithaca,nestling,2005,CU TRUP05,CU,TRUP05,M,25,26,5/13/2005,133,107,4,3,337,57.1,12.5,11.5,23,35,40.4,114,73,170,63
Corvus brachyrhynchos,Ithaca,nestling,2005,ES HAWA05,ES,HAWA05,F,24,25,5/13/2005,133,108,4,3,296,58.1,12,11.3,21.2,31.8,40.8,94,57,159,43
Corvus brachyrhynchos,Ithaca,nestling,2005,FR HAWA05,FR,HAWA05,M,24,26,5/13/2005,133,107,4,1,368,59.8,12.63,13.6,22.1,34,41,103,62,170,53
Corvus brachyrhynchos,Ithaca,nestling,2005,IO HAWA05,IO,HAWA05,M,24,25,5/13/2005,133,108,4,2,300,58.2,12.7,12.2,22.2,31.4,44.5,91,58,152,45
Corvus brachyrhynchos,Ithaca,nestling,2005,JN HAWA05,JN,HAWA05,F,24,25,5/13/2005,133,108,4,4,230,56.2,11.8,12.5,18.9,29.6,39.8,80,51,139,33
Corvus brachyrhynchos,Ithaca,nestling,2005,KM STAD05,KM,STAD05,M,27,25,5/16/2005,136,111,3,2,355,54.8,12.6,12.8,22.3,34.3,40.2,98,34,158,48
Corvus brachyrhynchos,Ithaca,nestling,2005,MK STAD05,MK,STAD05,M,27,25,5/16/2005,136,111,3,3,287,53.5,12,11.9,21.3,34.4,37.3,100,39,160,41
Corvus brachyrhynchos,Ithaca,nestling,2005,NJ STAD05,NJ,STAD05,M,27,27,5/16/2005,136,109,3,1,394,58.5,13.6,12.7,23.8,37.6,40.5,125,82,188,72
Corvus brachyrhynchos,Ithaca,nestling,2005,OI FOWA05,OI,FOWA05,M,27,26,5/16/2005,136,110,5,2,400,61.5,12.8,13.5,24.2,39.8,40.4,118,65,179,60
Corvus brachyrhynchos,Ithaca,nestling,2005,SE FOWA05,SE,FOWA05,M,27,27,5/16/2005,136,109,5,1,422,61.6,14,14,22.8,36.7,42.8,126,73,183,72
Corvus brachyrhynchos,Ithaca,nestling,2005,QG FOWA05,QG,FOWA05,F,27,27,5/16/2005,136,109,5,4,380,58.8,12,12.1,22.7,35.2,42.3,118,68,172,68
Corvus brachyrhynchos,Ithaca,nestling,2005,RF FOWA05,RF,FOWA05,F,27,26,5/16/2005,136,110,5,5,347,58.2,12.1,12.7,23.2,34.1,41,106,50,164,60
Corvus brachyrhynchos,Ithaca,nestling,2005,XZ FOWA05,XZ,FOWA05,M,27,25,5/16/2005,136,111,5,3,356,60.1,11.6,12.5,20.8,33.8,40.6,92,47,148,42
Corvus brachyrhynchos,Ithaca,nestling,2005,ZX HAPA05,ZX,HAPA05,M,26,27,5/16/2005,136,109,2,2,480,58.9,13.3,12.8,23.3,36.7,42.4,117,64,176,68
Corvus brachyrhynchos,Ithaca,nestling,2005,AV HAPA05,AV,HAPA05,F,26,27,5/16/2005,136,109,2,1,370,61.5,13.4,12.3,21.8,34.4,40.7,118,70,178,65
Corvus brachyrhynchos,Ithaca,nestling,2005,DS FOPA05,DS,FOPA05,F,24,25,5/16/2005,136,111,3,3,351,57.9,12.1,11.6,19.8,32.7,40.1,96,58,153,49
Corvus brachyrhynchos,Ithaca,nestling,2005,ER FOPA05,ER,FOPA05,F,24,25,5/16/2005,136,111,3,2,350,58.8,11.5,11.4,20.3,31.8,40.3,92,46,149,50
Corvus brachyrhynchos,Ithaca,nestling,2005,FQ FOPA05,FQ,FOPA05,M,24,26,5/16/2005,136,110,3,1,375,61.3,12.7,12.8,20.4,33.5,41.3,103,60,163,51
Corvus brachyrhynchos,Ithaca,nestling,2005,GP 96IR05,GP,96IR05,F,24,26,5/16/2005,136,110,2,2,385,57.2,12.7,11.9,22.1,34.6,39.6,100,53,158,55
Corvus brachyrhynchos,Ithaca,nestling,2005,JM 96IR05,JM,96IR05,M,24,25,5/16/2005,136,111,2,1,370,58.4,12,13.3,19.9,33.1,38.61,78,22,135,31
Corvus brachyrhynchos,Ithaca,nestling,2005,UC SWEG05,UC,SWEG05,F,28,27,5/17/2005,137,110,4,4,414,57.3,13.8,13.4,24.2,37.7,41.8,126,83,192,83
Corvus brachyrhynchos,Ithaca,nestling,2005,CT SWEG05,CT,SWEG05,F,28,28,5/17/2005,137,109,4,2,412,59.4,13.1,14.9,23.1,36.7,42.2,134,79,190,83
Corvus brachyrhynchos,Ithaca,nestling,2005,IN SWEG05,IN,SWEG05,F,28,27,5/17/2005,137,110,4,1,362,59.7,12.7,13.3,21.5,33.9,41.6,122,77,182,69
Corvus brachyrhynchos,Ithaca,nestling,2005,KL SWEG05,KL,SWEG05,M,28,27,5/17/2005,137,110,4,3,365,57.3,12.6,13,23.5,36.1,41.3,130,89,187,79
Corvus brachyrhynchos,Ithaca,nestling,2005,BU IEQR05,BU,IEQR05,F,24,25,5/17/2005,137,112,5,4,305,58.5,11.5,12.1,21,33.5,39.2,90,43,143,35
Corvus brachyrhynchos,Ithaca,nestling,2005,LK IEQR05,LK,IEQR05,F,24,26,5/17/2005,137,111,5,2,350,59.2,11.8,13,22.2,34.6,40.3,100,56,163,53
Corvus brachyrhynchos,Ithaca,nestling,2005,NI IEQR05,NI,IEQR05,F,24,25,5/17/2005,137,112,5,1,295,60,12.4,12.4,21.6,33.3,41,94,47,152,42
Corvus brachyrhynchos,Ithaca,nestling,2005,QF IEQR05,QF,IEQR05,F,24,25,5/17/2005,137,112,5,3,312,58.8,12.4,14,21.4,34.5,39.5,91,40,149,38
Corvus brachyrhynchos,Ithaca,nestling,2005,RE CLAR05,RE,CLAR05,M,31,31,5/18/2005,138,107,4,1,365,63.5,14.2,14.1,25.3,39.3,44.1,144,99,208,95
Corvus brachyrhynchos,Ithaca,nestling,2005,SD CLAR05,SD,CLAR05,F,31,31,5/18/2005,138,107,4,2,352,62.6,12.7,12.1,24.8,37.4,42.6,144,100,203,98
Corvus brachyrhynchos,Ithaca,nestling,2005,UB CLAR05,UB,CLAR05,F,31,31,5/18/2005,138,107,4,3,365,61.1,11.8,11.5,23.6,36.4,42.2,140,86,198,92
Corvus brachyrhynchos,Ithaca,nestling,2005,WZ GENR05,WZ,GENR05,M,31,31,5/18/2005,138,107,3,2,432,59.1,13.6,12.6,24,39.2,41.4,152,110,210,100
Corvus brachyrhynchos,Ithaca,nestling,2005,YX GENR05,YX,GENR05,M,31,31,5/18/2005,138,107,3,1,415,59.1,13.5,13.4,23.9,37.1,44.5,158,108,219,99
Corvus brachyrhynchos,Ithaca,nestling,2005,ZW GENR05,ZW,GENR05,M,31,31,5/18/2005,138,107,3,3,415,58,12.2,13.3,23.1,36.7,43.1,140,90,196,82
Corvus brachyrhynchos,Ithaca,nestling,2005,L- CCLI05,L-,CCLI05,M,30,28,5/18/2005,138,110,4,2,,60.4,13.4,12.3,24.1,37.2,44.9,133,97,198,79
Corvus brachyrhynchos,Ithaca,nestling,2005,CS CCLI05,CS,CCLI05,F,30,26,5/18/2005,138,112,4,3,330,56.3,12,10.9,22.4,31.5,41.6,120,82,178,61
Corvus brachyrhynchos,Ithaca,nestling,2005,AU CCLI05,AU,CCLI05,F,30,29,5/18/2005,138,109,4,1,400,60.8,13.2,11.6,22.3,35.4,42.9,149,113,211,98
Corvus brachyrhynchos,Ithaca,nestling,2005,BT CCLI05,BT,CCLI05,M,30,27,5/18/2005,138,111,4,4,360,56,12.8,11.7,21.2,34.4,40.7,134,95,192,75
Corvus brachyrhynchos,Ithaca,nestling,2005,DR DBAR05,DR,DBAR05,F,23,23,5/19/2005,139,116,4,1,348,59.3,12.2,12.2,20.2,33.7,40.6,98,51,159,38
Corvus brachyrhynchos,Ithaca,nestling,2005,EQ DBAR05,EQ,DBAR05,M,23,23,5/19/2005,139,116,4,2,327,56.6,12.6,13.3,21.7,34.8,39.6,87,44,144,33
Corvus brachyrhynchos,Ithaca,nestling,2005,FP DBAR05,FP,DBAR05,M,23,23,5/19/2005,139,116,4,3,321,56.4,12.4,13.1,21.4,34.9,39.1,80,38,139,29
Corvus brachyrhynchos,Ithaca,nestling,2005,IM DBAR05,IM,DBAR05,M,22,22,5/19/2005,139,117,4,4,266,54.4,11.7,10.8,19.8,30.9,39.7,68,33,124,20
Corvus brachyrhynchos,Ithaca,nestling,2005,JL LRIS05,JL,LRIS05,F,28,27,5/19/2005,139,112,1,1,360,59.9,11.6,10.8,22.3,34.2,43,126,73,186,81
Corvus brachyrhynchos,Ithaca,nestling,2005,KK WILG05,KK,WILG05,F,27,26,5/19/2005,139,113,5,5,370,59.3,12.7,13.5,22.5,36.9,40.2,112,64,168,56
Corvus brachyrhynchos,Ithaca,nestling,2005,LJ WILG05,LJ,WILG05,F,27,26,5/19/2005,139,113,5,2,405,61.4,12.3,12.8,22.9,36.5,40.9,115,69,173,66
Corvus brachyrhynchos,Ithaca,nestling,2005,MI WILG05,MI,WILG05,F,27,26,5/19/2005,139,113,5,3,372,59.8,12.7,12.6,22.3,33.6,41,105,59,166,52
Corvus brachyrhynchos,Ithaca,nestling,2005,NH WILG05,NH,WILG05,F,27,26,5/19/2005,139,113,5,4,397,59.5,12.7,12.8,23.3,35.4,41.3,112,65,174,67
Corvus brachyrhynchos,Ithaca,nestling,2005,OG WILG05,OG,WILG05,M,27,27,5/19/2005,139,112,5,1,445,63.6,13.8,12.7,24.7,39,43.1,121,70,183,68
Corvus brachyrhynchos,Ithaca,nestling,2005,PF MCUN05,PF,MCUN05,M,30,28,5/20/2005,140,112,4,1,365,56,13,11.8,21.7,34.9,43,140,101,202,84
Corvus brachyrhynchos,Ithaca,nestling,2005,SC MCUN05,SC,MCUN05,F,30,28,5/20/2005,140,112,4,2,320,55.3,12.4,11,21.6,34.1,41,144,101,200,88
Corvus brachyrhynchos,Ithaca,nestling,2005,UA MCUN05,UA,MCUN05,M,29,26,5/20/2005,140,114,4,4,285,50.3,11.2,11.1,19.2,32.5,38.7,118,65,168,56
Corvus brachyrhynchos,Ithaca,nestling,2005,VZ MCUN05,VZ,MCUN05,F,29,26,5/20/2005,140,114,4,3,285,50.4,12.3,10.2,18,31.3,37.3,114,65,168,57
Corvus brachyrhynchos,Ithaca,nestling,2005,WY NBUR05,WY,NBUR05,M,28,25,5/20/2005,140,115,5,5,287,49.4,9.9,10.7,19.9,33.7,39.6,103,62,152,45
Corvus brachyrhynchos,Ithaca,nestling,2005,XX NBUR05,XX,NBUR05,M,28,27,5/20/2005,140,113,5,3,351,54.2,11.1,11.4,22.6,34,43.4,125,85,181,65
Corvus brachyrhynchos,Ithaca,nestling,2005,YW NBUR05,YW,NBUR05,M,28,26,5/20/2005,140,114,5,1,372,55.5,11.3,11.6,22.6,32.8,45.4,119,80,171,58
Corvus brachyrhynchos,Ithaca,nestling,2005,ZV NBUR05,ZV,NBUR05,M,28,27,5/20/2005,140,113,5,2,320,55.2,11.4,11.6,22.4,31.9,43.9,129,90,182,70
Corvus brachyrhynchos,Ithaca,nestling,2005,FR NBUR05,FR,NBUR05,F,28,27,5/20/2005,140,113,5,4,328,52.6,10.7,10.6,22.4,32.5,42.1,122,87,175,74
Corvus brachyrhynchos,Ithaca,nestling,2005,AT EHCR05,AT,EHCR05,M,25,26,5/21/2005,141,115,3,1,415,64.2,12.8,12.95,22.6,36.4,43.9,107,55,167,50
Corvus brachyrhynchos,Ithaca,nestling,2005,BS EHCR05,BS,EHCR05,M,25,25,5/21/2005,141,116,3,2,372,62.6,12.2,11.6,21.2,35,42.7,99,54,159,50
Corvus brachyrhynchos,Ithaca,nestling,2005,CR EHCR05,CR,EHCR05,F,25,25,5/21/2005,141,116,3,3,343,59.7,12.1,12.4,21.4,33.8,40.7,98,57,156,46
Corvus brachyrhynchos,Ithaca,nestling,2005,DQ ROGO05,DQ,ROGO05,F,27,27,5/21/2005,141,114,1,1,362,55.3,12.9,12.6,22,34.7,40.5,119,67,170,76
Corvus brachyrhynchos,Ithaca,nestling,2005,EP ORHA05,EP,ORHA05,F,26,26,5/21/2005,141,115,1,1,377,58.6,12.7,12.6,22.8,34.2,43.5,110,67,167,62
Corvus brachyrhynchos,Ithaca,nestling,2005,FO PECI05,FO,PECI05,F,25,25,5/21/2005,141,116,3,1,397,60.7,13.8,12.6,22.2,35,40.6,90,45,148,46
Corvus brachyrhynchos,Ithaca,nestling,2005,GN PECI05,GN,PECI05,F,25,25,5/21/2005,141,116,3,3,429,58.8,13.2,12.1,21.5,33.5,40.7,97,52,148,52
