measureDate,id ,name,deathDate,nestName,nestNameYear,deathAge,species,hatchDate,year,hatchYear,billNT,rank,billWidth,remarks,billDepth,tec,head,mouthColor,skull,futureBreeder,tarsus,wingChord,bloodTube ,manus,bloodSpotsBelly,7thPrim,broodSize,exp7thPrim,Band match,p7Ratio,initialBandDateJuly,tailLength,initialBandDate,weight,weakHungerBars,age,strongHungerBars,sexSummary,modHungerBars,DNASex,extremeHungerBars,behaviorSex,alias,bandNumber,nestlingData,colorBands,p7Squared,radioFrequency,WtTarsusIndex,jDay,ageCategory,markDate,vetReference,location
2/28/2001,Q5 NET301,Q5,,NET,NET301,,Corvus brachyrhynchos,,2001,,34.8,,13.9,,16.8,48.1,92.1,,44,,57.3,301,,,,244,,,,,,168,,445,,0,,F,,,,,,835-99592,,,59536,,7.766143106,,,,,
2/28/2001,J9 NET301,J9,,NET,NET301,,Corvus brachyrhynchos,,2001,,33,,13.8,,16.6,44.6,89.2,,44.6,,56.3,315,,,,242,,,,,,177,,472,,0,,F,,,,,,835-99593,,,58564,,8.38365897,,,,,
2/28/2001,R6 NET301,R6,,NET,NET301,,Corvus brachyrhynchos,,2001,,33.8,,14.2,one new retrix,17,44.7,87.7,,43,,57.1,295,,,,232,,,,,,169,,445,,0,,F,,,,,,835-99594,,,53824,,7.793345009,,,,,
2/28/2001,S7 NET301,S7,,NET,NET301,,Corvus brachyrhynchos,,2001,,39.2,,14.4,,18.4,51.9,99.2,,47.3,,58.9,320,,,,252,,,,,,186,,573,,0,,M,,,,,,835-99595,,,63504,,9.728353141,,,,,
2/28/2001,K0 NET301,K0,,NET,NET301,,Corvus brachyrhynchos,,2001,,35,,12.6,,17.6,49.2,88.5,,39.3,,53.3,297,,,,238,,,,,,164,,416,,0,,F,,,,,,835-99596,,,56644,,7.804878049,,,,,
3/1/2001,T8 NET401,T8,,NET,NET401,,Corvus brachyrhynchos,,2001,,35.3,,14.6,,18.4,48.2,93.6,,45.4,,61,298,,,,229,,,,,,173,,506,,0,,F,,,,,,835-99597,,,52441,,8.295081967,,,,,
3/1/2001,U9 NET401,U9,,NET,NET401,,Corvus brachyrhynchos,,2001,,34.7,,14.2,,17.9,49.2,93.4,,44.2,,61.6,305,,,,230,,,,,,170,,557,,0,,M,,,,,,835-99598,,,52900,,9.042207792,,,,,
3/1/2001,V0 NET401,V0,,NET,NET401,,Corvus brachyrhynchos,,2001,,33.8,,15,,17.4,46.9,90.4,,43.5,,58.7,299,,,,232,,,,,,163,,450,,0,,F,,,,,,835-99599,,,53824,,7.666098807,,,,,
3/1/2001,W1 NET401,W1,,NET,NET401,,Corvus brachyrhynchos,,2001,,37.8,,13.8,,18.2,53.4,96.5,,43.1,,62.9,305,,,,242,,,,,,175,,509,,0,,M,,,,,,835-99600,,,58564,,8.092209857,,,,,
3/1/2001,X2 NET401,X2,,NET,NET401,,Corvus brachyrhynchos,,2001,,34.2,,14,,17.1,45.5,88.5,,43,,58.4,292,,,,227,,,,,,171,,487,,0,,F,,,,,,835-99601,,,51529,,8.339041096,,,,,
3/1/2001,Y3 NET401,Y3,,NET,NET401,,Corvus brachyrhynchos,,2001,,38.5,,16.4,tail broken; no tail measurement,18.7,53.2,97.8,,44.6,,61.4,305,,,,240,,,,,,,,550,,0,,M,,,,,,835-99602,,,57600,,8.957654723,,,,,
3/1/2001,L1 NET401,L1,,NET,NET401,,Corvus brachyrhynchos,,2001,,31.1,,13.7,,17,45.6,85.7,,40.1,,55.4,293,,,,230,,,,,,165,,440,,0,,F,,,,,,835-99603,,,52900,,7.942238267,,,,,
3/1/2001,M2 NET401,M2,,NET,NET401,,Corvus brachyrhynchos,,2001,,36.7,,15.5,,18.2,50.7,94.3,,43.6,,57.1,308,,,,247,,,,,,187,,528,,0,,M,,,,,,835-99604,,,61009,,9.246935201,,,,,
3/1/2001,Z4 NET401,Z4,,NET,NET401,,Corvus brachyrhynchos,,2001,,36,,14.5,,16.3,47.1,91,,43.9,,56.2,301,,,,244,,,,,,170,,480,,0,,F,,,,,,835-99605,,,59536,,8.540925267,,,,,
3/1/2001,N3 NET401,N3,,NET,NET401,,Corvus brachyrhynchos,,2001,,34.3,,13.3,,17,46.8,92.3,,45.5,,59.4,294,,,,225,,,,,,171,,445,,0,,F,,,,,,835-99606,,,50625,,7.491582492,,,,,
3/9/2001,1A NET501,1A,,NET,NET501,,Corvus brachyrhynchos,,2001,,36.8,,14.4,white wing patches,18.3,51.6,95.4,,43.8,,57.3,299,,,,241,,,,,,171,,582,,0,,M,,,,,,835-99607,,,58081,,10.15706806,,,,,
3/9/2001,2B NET501,2B,,NET,NET501,,Corvus brachyrhynchos,,2001,,33.9,,13.3,,16.8,46,87.7,,41.7,,56.3,296,,,,237,,,,,,167,,452,,0,,F,,,,,,835-99608,,,56169,,8.028419183,,,,,
3/9/2001,3C NET501,3C,,NET,NET501,,Corvus brachyrhynchos,,2001,,36.4,,13.5,,19.2,49.5,93.5,,44,,58.8,309,,,,240,,,,,,168,,584,,0,,F,,,,,,835-99609,,,57600,,9.931972789,,,,,
3/9/2001,4D NET501,4D,,NET,NET501,,Corvus brachyrhynchos,,2001,,36.5,,14.9,,16.7,47.3,94.4,,47.1,,59,305,,,,239,,,,,,170,,499,,0,,F,,,,,,835-99610,,,57121,,8.457627119,,,,,
3/9/2001,O4 NET501,O4,,NET,NET501,,Corvus brachyrhynchos,,2001,,36.8,,13.3,,18.7,51.5,94.3,,42.8,,58.2,310,,,,252,,,,,,176,,524,,0,,M,,,,,,835-99611,,,63504,,9.003436426,,,,,
3/9/2001,P5 NET501,P5,,NET,NET501,,Corvus brachyrhynchos,,2001,,37.1,,15.4,,18.4,51.4,95.9,,44.5,,61.5,311,,,,250,,,,,,175,,548,,0,,M,,,,,,835-99612,,,62500,,8.910569106,,,,,
3/9/2001,Q6 NET501,Q6,,NET,NET501,,Corvus brachyrhynchos,,2001,,35.2,,14.4,,17.7,50.8,93.5,,42.7,,59,318,,,,253,,,,,,184,,511,,0,,M,,,,,,835-99613,,,64009,,8.661016949,,,,,
3/9/2001,R7 NET501,R7,,NET,NET501,,Corvus brachyrhynchos,,2001,,37.4,,13.2,"""clicking breathing""",18.7,51.8,95.7,,43.9,,58.5,311,,,,252,,,,,,183,,552,,0,,M,,,,,,835-99614,,,63504,,9.435897436,,,,,
3/9/2001,S8 NET501,S8,,NET,NET501,,Corvus brachyrhynchos,,2001,,31.8,,12.9,broken 8th ( R ),16,43.7,88.1,,44.4,,57.8,300,,,,239,,,,,,177,,460,,0,,F,,,,,,835-99615,,,57121,,7.958477509,,,,,
3/9/2001,T9 NET501,T9,,NET,NET501,,Corvus brachyrhynchos,,2001,,37,,14.6,,18.4,51.7,94.8,,43.1,,57.8,297,,,,238,,,,,,173,,500,,0,,M,,,,,,835-99616,,,56644,,8.650519031,,,,,
3/9/2001,U0 NET501,U0,,NET,NET501,,Corvus brachyrhynchos,,2001,,34.8,,14.8,,17.9,47,91.6,,44.6,,57,307,,,,247,,,,,,176,,485,,0,,F,,,,,,835-99617,,,61009,,8.50877193,,,,,
3/9/2001,V1 NET501,V1,,NET,NET501,,Corvus brachyrhynchos,,2001,,37.6,,15,,19.9,50.8,94.7,,43.9,,59.4,324,,,,249,,,,,,186,,570,,0,,M,,,,,,835-99618,,,62001,,9.595959596,,,,,
3/9/2001,5E NET501,5E,,NET,NET501,,Corvus brachyrhynchos,,2001,,37.7,,14.3,,17.5,52.4,97.36,,44.96,,58.3,296,,,,234,,,,,,170,,565,,0,,M,,,,,,835-99619,,,54756,,9.691252144,,,,,
3/9/2001,W2 NET501,W2,,NET,NET501,,Corvus brachyrhynchos,,2001,,35.6,,14.7,,17.4,48.3,94.5,,46.2,,58.6,318,,,,253,,,,,,184,,538,,0,,M,,,,,,835-99620,,,64009,,9.180887372,,,,,
3/13/2001,X3 NET601,X3,,NET,NET601,,Corvus brachyrhynchos,,2001,,37.3,,15.3,crossed mandibles,18.8,49.3,95,,45.7,,59.1,312,,,,253,,,,,,187,,529,,0,,M,,,,,,835-99621,,,64009,,8.950930626,,,,,
3/13/2001,Y4 NET601,Y4,,NET,NET601,,Corvus brachyrhynchos,,2001,,35.9,,13.8,BUG,17.3,50,94.5,,44.5,,60.8,307,,,,239,,,,,,177,,525,,0,,M,,,,,,835-99622,,,57121,,8.634868421,,,,,
3/13/2001,6F NET601,6F,,NET,NET601,,Corvus brachyrhynchos,,2001,,33.1,,17.7,,17.8,46,88.8,,42.8,,55.7,291,,,,235,,,,,,163,,535,,0,,F,,,,,,835-99623,,,55225,,9.60502693,,,,,
3/13/2001,Z5 NET601,Z5,,NET,NET601,,Corvus brachyrhynchos,,2001,,33.8,,13.7,,17.1,48.4,90,,41.6,,58,305,,,,246,,,,,,172,,475,,0,,M,,,,,,835-99624,,,60516,,8.189655172,,,,,
3/13/2001,A6 NET601,A6,,NET,NET601,,Corvus brachyrhynchos,,2001,,37.2,,15.8,* broken wing tips,18.1,52.2,96,,43.8,,61.7,295,,,,234,,,,,,167,,500,,0,,M,,,,,,835-99625,,,54756,,8.103727715,,,,,
3/13/2001,2A NET601,2A,,NET,NET601,,Corvus brachyrhynchos,,2001,,34.4,,14.1,* ( R ) Hallux broken/fused,18.1,49,90.7,,41.7,,57.6,311,,,,248,,,,,,179,,615,,0,,M,,,,,,835-99626,,,61504,,10.67708333,,,,,
3/13/2001,3B NET601,3B,,NET,NET601,,Corvus brachyrhynchos,,2001,,36.6,,14.4,,17.9,52.4,94.5,,42.1,,58.7,313,,,,252,,,,,,182,,575,,0,,M,,,,,,835-99627,,,63504,,9.795570698,,,,,
3/13/2001,8H NET601,8H,,NET,NET601,,Corvus brachyrhynchos,,2001,,39.4,,14.1,,18.4,56,98.6,,42.6,,62.3,303,,,,240,,,,,,175,,490,,0,,M,,,,,,835-99628,,,57600,,7.865168539,,,,,
3/13/2001,9I NET601,9I,,NET,NET601,,Corvus brachyrhynchos,,2001,,40.2,,16.5,two broken tail feathers,18.8,55.9,101,,45.1,,62.2,318,,,,249,,,,,,183,,562,,0,,M,,,,,,835-99629,,,62001,,9.035369775,,,,,
3/13/2001,0J NET601,0J,,NET,NET601,,Corvus brachyrhynchos,,2001,,37.8,,14.5,,18.8,52.2,96.3,,44.1,,61,303,,,,243,,,,,,165,,565,,0,,M,,,,,,835-99630,,,59049,,9.262295082,,,,,
3/13/2001,4C NET601,4C,,NET,NET601,,Corvus brachyrhynchos,,2001,,34.1,,13.5,,16.7,46.5,90.7,,44.2,,56.4,300,,,,240,,,,,,172,,470,,0,,F,,,,,,835-99631,,,57600,,8.333333333,,,,,
3/13/2001,1K NET601,1K,,NET,NET601,,Corvus brachyrhynchos,,2001,,35.2,,16,,18.7,49.1,94.2,,45.1,,61.3,314,,,,250,,,,,,180,,533,,0,,M,,,,,,835-99632,,,62500,,8.694942904,,,,,
3/13/2001,2L NET601,2L,,NET,NET601,,Corvus brachyrhynchos,,2001,,31.9,,12.7,,17,45.2,90.9,,45.7,,62.6,309,,,,241,,,,,,179,,510,,0,,F,,,,,,835-99633,,,58081,,8.146964856,,,,,
3/13/2001,3M NET601,3M,,NET,NET601,,Corvus brachyrhynchos,,2001,,34,,13.8,,16.4,45.4,93.5,,48.1,,60,308,,,,250,,,,,,174,,500,,0,,F,,,,,,835-99634,,,62500,,8.333333333,,,,,
3/13/2001,5D NET601,5D,,NET,NET601,,Corvus brachyrhynchos,,2001,,32.1,,13.2,,16.7,46.7,89.7,,43,,56.1,310,,,,246,,,,,,182,,495,,0,,M,,,,,,835-99635,,,60516,,8.823529412,,,,,
3/16/2001,4N NET701,4N,,NET,NET701,,Corvus brachyrhynchos,,2001,,32.4,,13.3,,16.2,47.9,88.1,,40.2,,55.7,277,,,,216,,,,,,145,,425,,0,,F,,,,,,835-99636,,,46656,,7.63016158,,,,,
3/16/2001,5O NET701,5O,,NET,NET701,,Corvus brachyrhynchos,,2001,,35.3,,13.7,,17.6,50.9,92.6,,41.7,,59.4,303,,,,237,,,,,,170,,435,,0,,M,,,,,,835-99637,,,56169,,7.323232323,,,,,
3/16/2001,6E NET701,6E,,NET,NET701,,Corvus brachyrhynchos,,2001,,34.5,,15,,18.6,49.8,93.9,,44.1,,58.9,311,,,,258,,,,,,187,,570,,0,,M,,,,,,835-99638,,,66564,,9.677419355,,,,,
3/16/2001,6P NET701,6P,,NET,NET701,,Corvus brachyrhynchos,,2001,,35,,14.1,,17.8,49,89.8,,40.8,,59.3,307,,,,243,,,,,,178,,500,,0,,M,,,,,,835-99639,,,59049,,8.431703204,,,,,
3/16/2001,7Q NET701,7Q,,NET,NET701,,Corvus brachyrhynchos,,2001,,36.1,,14.5,,16.6,51.5,94.4,,42.9,,58.2,282,,,,219,,,,,,156,,460,,0,,M,,,,,,835-99640,,,47961,,7.903780069,,,,,
3/16/2001,8R NET701,8R,,NET,NET701,,Corvus brachyrhynchos,,2001,,34.6,,15.6,,19.3,45.4,90.4,,45,,58.8,301,,,,234,,,,,,172,,500,,0,,F,,,,,,835-99641,,,54756,,8.503401361,,,,,
3/16/2001,9S NET701,9S,,NET,NET701,,Corvus brachyrhynchos,,2001,,38.4,,14.1,,17.7,53,97.4,,44.4,,58.9,298,,,,246,,,,,,174,,560,,0,,M,,,,,,835-99642,,,60516,,9.507640068,,,,,
3/16/2001,0T NET701,0T,,NET,NET701,,Corvus brachyrhynchos,,2001,,38.8,,14.8,,19.3,52.4,99.1,,46.7,,67,307,,,,239,,,,,,175,,575,,0,,M,,,,,,835-99643,,,57121,,8.582089552,,,,,
3/16/2001,7F NET701,7F,,NET,NET701,,Corvus brachyrhynchos,,2001,,34.1,,13.6,,17.7,48,89.9,,41.9,,55.6,292,,,,237,,,,,,173,,470,,0,,F,,,,,,835-99644,,,56169,,8.45323741,,,,,
3/16/2001,1U NET701,1U,,NET,NET701,,Corvus brachyrhynchos,,2001,,35.3,,13.8,very dark mouth,17.6,49.2,92.2,,43,,60.7,289,,,,222,,,,,,168,,480,,0,,M,,,,,,835-99645,,,49284,,7.907742998,,,,,
3/16/2001,8G NET701,8G,,NET,NET701,,Corvus brachyrhynchos,,2001,,37.7,,13.4,,17.7,51.8,91.8,,40,,61.5,299,,,,238,,,,,,174,,495,,0,,M,,,,,,835-99646,,,56644,,8.048780488,,,,,
3/16/2001,2V NET701,2V,,NET,NET701,,Corvus brachyrhynchos,,2001,,37.1,,14.6,,19.1,51.3,96,,44.7,,61.8,313,,,,252,,,,,,173,,540,,0,,M,,,,,,835-99647,,,63504,,8.737864078,,,,,
3/16/2001,9H NET701,9H,,NET,NET701,,Corvus brachyrhynchos,,2001,,34.1,,14.1,,17.5,48,91.2,,43.2,,60.6,305,,,,244,,,,,,173,,485,,0,,M,,,,,,835-99648,,,59536,,8.00330033,,,,,
3/16/2001,3W NET701,3W,,NET,NET701,,Corvus brachyrhynchos,,2001,,33.9,,13.4,,15.7,47.9,90.4,,42.5,,58.1,291,,,,231,,,,,,159,,460,,0,,F,,,,,,835-99649,,,53361,,7.917383821,,,,,
3/20/2001,4X NET801,4X,,NET,NET801,,Corvus brachyrhynchos,,2001,,36.4,,13.9,,16.6,51.5,94.1,,42.6,,54.7,285,,,,220,,,,,,163,,488,,0,,M,,,,,,835-99650,,,48400,,8.921389397,,,,,
3/20/2001,5Y NET801,5Y,,NET,NET801,,Corvus brachyrhynchos,,2001,,36.7,,14.6,middle claw of R. foot broken,17.8,49.8,94.8,,45,,60.6,318,,,,250,,,,,,179,,480,,0,,M,,,,,,835-99651,,,62500,,7.920792079,,,,,
3/20/2001,6Z NET801,6Z,,NET,NET801,,Corvus brachyrhynchos,,2001,,35.6,,14.1,,16.8,48.8,91.6,,42.8,,56.4,282,,,,222,,,,,,163,,437,,0,,F,,,,,,835-99652,,,49284,,7.74822695,,,,,
3/20/2001,0I NET801,0I,,NET,NET801,,Corvus brachyrhynchos,,2001,,34.3,,14.2,diagonal cuts in tail,17.3,47.7,91.8,,44.1,,60.3,320,,,,251,,,,,,183,,520,,0,,M,,,,,,835-99653,,,63001,,8.623548922,,,,,
3/4/2002,JS MURI97,JS,,MURI,MURI97,,Corvus brachyrhynchos,,2002,,31.7,,13.4,"found injured, died overnight; bites",16.8,44.7,89.5,,44.8,,56.4,307,,,,241,,,,,,174,,430,,5,,,,,,,,925-62306,,,58081,,7.624113475,,,,,
1/23/2002,no-b WKAY01,no-b,,WKAY,WKAY01,,Corvus brachyrhynchos,,2002,,33.6,,13.7,found dead on ground under spruces,17.5,47.4,90.7,,43.3,,55.3,293,,,,235,,,,,,165,,470,,0,,,,,,,,,,,55225,,8.499095841,,,,,
6/23/2002,7W BRTN01,7W,,BRTN,BRTN01,,Corvus brachyrhynchos,,2002,,32.2,,13.6,"photos of mouth, etc.; in molt; radio replaced - 149.6663",16.8,44.6,85.9,,41.3,,57.3,280,,,,228,,,,,,160,,470,,400,,female?,,,,,,975-15108,,RL-SY,51984,,8.202443281,174,,,,
6/23/2002,2K BRTNad,2K,,BRTN,BRTNad,,Corvus brachyrhynchos,,2002,,32.7,,12.9,,16.9,48,90.4,,42.4,,58.3,312,,,,250,,,,,,182,,485,,0,,male?,,,,,,975-57566,,YS-BY,62500,,8.319039451,174,,,,
6/23/2002,3L BRTNad,3L,,BRTN,BRTNad,,Corvus brachyrhynchos,,2002,,34.5,,13.1,many broken tail feathers on left side; radio - 150.442,17.1,48.1,93.4,,45.3,,60.2,315,,,,258,,,,,,189,,535,,0,,male?,,,,,,975-57565,,LS-BY,66564,,8.887043189,174,,,,
6/23/2002,H8 JSUP98,H8,,JSUP,JSUP98,,Corvus brachyrhynchos,,2002,,33,,13,liner on tag beginning to crack; radio-149.651,18,45.1,90.5,,45.4,,59.3,309,,,,246,,,,,,175,,460,,1529,,female,,,,,,925-62379,,S-BBP,60516,,7.757166948,174,,,,
6/23/2002,T7 STAD00,T7,,STAD,STAD00,,Corvus brachyrhynchos,,2002,,33,,12.6,broken tail feathers (4),18.4,46.5,90.6,,44.1,,61.5,307,,,,248,,,,,,175,,460,,759,,female?,,,,,,835-99562,,FOS-P,61504,,7.479674797,174,,,,
6/19/2002,xxxx xxxx,xxxx,,,xxxx,,Corvus brachyrhynchos,,2002,,33.7,,14.5,killed by car at 1105 Trumansburg Rd; collected by Greg Budney; 2 strong hunger bars,17.6,48.5,92.7,,44.2,,57.9,301,,,,230,,,,,,174,,415,,0,,female,,,,,,,,,52900,,7.167530225,170,,,,
6/19/2002,no-b EOCR?,no-b,,,EOCR?,,Corvus brachyrhynchos,,2002,,38.6,,14.7,"found sick at 120 Kay St., died; missing half primaries on left wing; 2 new secondaries (2&3) beginning",18.7,52.5,98,,45.5,,62.1,308,,,,233,,,,,,181,,465,,0,,male,,,,,,,,,54289,,7.487922705,170,,,,
7/23/2002,2R SWEG01,2R,,SWEG,SWEG01,,Corvus brachyrhynchos,,2002,,32.3,,14.2,measured 8th instead of 7th primary due to molt; in fairly strong molt; replaced radio,17.1,47.4,87.4,,40,,58,295,,,,235,,,,,,174,,393,,443,,male?,,,,,,975-15103,,YW-SB,55225,,6.775862069,204,,,,
7/23/2002,RV SWEG94,RV,,SWEG,SWEG94,,Corvus brachyrhynchos,,2002,,36.2,,14.5,measured 8th instead of 7th primary due to molt; in fairly strong molt; left foot missing,19.2,49.7,94.6,,44.9,,60.8,320,,,,251,,,,,,190,,505,,3000,,male,,,,,,975-57574,,LRYS-,63001,,8.305921053,204,,,,
7/23/2002,S3 SWEG99,S3,,SWEG,SWEG99,,Corvus brachyrhynchos,,2002,,36.7,,13,measured 8th instead of 7th primary due to molt; in fairly strong molt; given radio,16.3,48.2,92.2,,44,,57.2,308,,,,245,,,,,,189,,435,,1175,,male?,,,,,,805-08991,,A-LSP,60025,,7.604895105,204,,,,
7/23/2002,J9 NET301,J9,,NET,NET301,,Corvus brachyrhynchos,,2002,,33.1,,13.3,8th primary = 250; in molt but not as heavy as other birds - a feather behind; given radio,16.3,46.4,88.7,,42.3,,57.4,315,,,,254,,,,,,167,,460,,0,,female,,,,,,835-99593,,PS-LP,64516,,8.013937282,204,,,,
7/25/2002,S3 SWEG99,S3,,SWEG,SWEG99,,Corvus brachyrhynchos,,2002,,,,,found dead,,,,,,,,,,,,,,,,,,,,397,,,,,,,,,,,,,,,?,206,,,,
7/22/2002,FFW-S DRIN02,FFW-S,,DRIN,DRIN02,,Corvus brachyrhynchos,,2002,,32,,15.8,found dead; growth in right nostril,16.1,49.6,87,,37.4,,60.2,290,,,,238,,,,,,158,,315,,,,,,,,,,,,FFW-S,56644,,5.23255814,203,,,,
7/26/2002,2R SWEG01,2R,,SWEG,SWEG01,,Corvus brachyrhynchos,,2002,,,,,found dead,,,,,,,,,,,,,,,,,,,,338,,,,,,,,,,,,,,,?,207,,,,
3/17/2003,4M BOWRad,4M,,BOWR,BOWRad,,Corvus brachyrhynchos,,2003,,35.9,,14.3,"injured, spent weekend in wildlife clinic; photos of mouth and tail",18.4,58.5,92.6,,34.1,,56.8,305,,,,249,,,,,,175,,434,,0,,male?,,,,,,975-57575,,PS-BY,62001,,7.64084507,76,,,,
4/3/2003,Y2 WARO00,Y2,,WARO,WARO00,,Corvus brachyrhynchos,,2003,,35.4,,15.2,,19.1,54.9,96.5,,41.6,,59.5,329,,,,241,,,,,,193,,,,,,,,,,,,,,,58081,,0,,,,,
6/8/2003,1 NDYC03,1,,NDYC,NDYC03,,Corvus brachyrhynchos,,2003,,27.7,,13,"dead on road; a few bloodspots on belly; 1 strong, 2 mod, 3 light hunger bars",16.1,42.2,89.2,,47,,57.6,276,,,,220,,187,,85,,172,,427,,,,,,,,,,,,,48400,,7.413194444,,,,,
7/1/2003,3D MIPI03,3D,,MIPI,MIPI03,,Corvus brachyrhynchos,,2003,,32.7,,14.4,dead on ground below roost tree,17,48.8,93.9,,45.1,,62.2,303,,,,241,,241,,100,,141,,515,,71,,,,,,,,975-57618,,SRR-F,58081,,8.279742765,,,,,
8/1/2003,5N WAROad,5N,,WARO,WAROad,,Corvus brachyrhynchos,,2003,,35.4,,14.3,"7th primary growing, 8th used in measurement; 7th primary 148; eyelids swollen, very calm bird",17.7,49.1,93.3,,44.2,,60.9,302,,,,241,,,,0,,173,,539,,,,,,,,,,975-57670,,WS-OB,58081,,8.850574713,,,,,
