Date,Obs,Year,Month,Day,Julian, MaxTemp, MinTemp, AtObsTemp, Precip, Snowfall, SnowDepth, HDD, CDD, GDD
10/5/1990,278,1990,10,5,278,65,46, M,0.84,0,0,9,0,6
10/6/1990,279,1990,10,6,279,71,53, M,0,0,0,3,0,12
10/7/1990,280,1990,10,7,280,82,55, M,0,0,0,0,4,19
10/8/1990,281,1990,10,8,281,80,59, M,0.01,0,0,0,5,20
10/9/1990,282,1990,10,9,282,61,50, M,0.02,0,0,9,0,6
10/10/1990,283,1990,10,10,283,74,46, M,0.25,0,0,5,0,10
10/11/1990,284,1990,10,11,284,77,48, M,0.04,0,0,2,0,13
10/12/1990,285,1990,10,12,285,67,47, M,1.31,0,0,8,0,7
10/13/1990,286,1990,10,13,286,71,49, M,0.72,0,0,5,0,10
10/14/1990,287,1990,10,14,287,67,53, M,0.16,0,0,5,0,10
10/15/1990,288,1990,10,15,288,61,51, M,0,0,0,9,0,6
10/16/1990,289,1990,10,16,289,63,36, M,0,0,0,15,0,0
10/17/1990,290,1990,10,17,290,59,38, M,0,0,0,16,0,0
10/18/1990,291,1990,10,18,291,71,52, M,0,0,0,3,0,12
10/19/1990,292,1990,10,19,292,70,41, M,0.75,0,0,9,0,6
10/20/1990,293,1990,10,20,293,47,29, M,0,0,0,27,0,0
10/21/1990,294,1990,10,21,294,58,31, M,0,0,0,20,0,0
10/22/1990,295,1990,10,22,295,58,44, M,0,0,0,14,0,1
10/23/1990,296,1990,10,23,296,61,50, M,0.31,0,0,9,0,6
10/24/1990,297,1990,10,24,297,54,44, M,2.39,0,0,16,0,0
10/25/1990,298,1990,10,25,298,53,38, M,0,0,0,19,0,0
10/26/1990,299,1990,10,26,299,55,35, M,0.01,0,0,20,0,0
10/27/1990,300,1990,10,27,300,39,24, M, T,0,0,33,0,0
10/28/1990,301,1990,10,28,301,53,27, M,0.01,0,0,25,0,0
10/29/1990,302,1990,10,29,302,47,32, M,0.12,0.1, T,25,0,0
10/30/1990,303,1990,10,30,303,41,24, M,0,0,0,32,0,0
10/31/1990,304,1990,10,31,304,62,31, M,0,0,0,18,0,0
11/1/1990,305,1990,11,1,305,58,34, M,0,0,0,19,0,0
11/2/1990,306,1990,11,2,306,70,38, M,0,0,0,11,0,4
11/3/1990,307,1990,11,3,307,68,45, M,0,0,0,8,0,7
11/4/1990,308,1990,11,4,308,73,47, M,0,0,0,5,0,10
11/5/1990,309,1990,11,5,309,71,40, M, T,0,0,9,0,6
11/6/1990,310,1990,11,6,310,59,41, M,0.31,0,0,15,0,0
11/7/1990,311,1990,11,7,311,46,34, M, T, T,0,25,0,0
11/8/1990,312,1990,11,8,312,39,33, M,0.22, T,0,29,0,0
11/9/1990,313,1990,11,9,313,36,20, M,0.02,0.1,0,37,0,0
11/10/1990,314,1990,11,10,314,40,29, M,0.75,0,0,30,0,0
11/11/1990,315,1990,11,11,315,40,32, M,0.51,0,0,29,0,0
11/12/1990,316,1990,11,12,316,39,27, M,0.04,2.1,2,32,0,0
11/13/1990,317,1990,11,13,317,33,24, M,0.1,1.1,3,36,0,0
11/14/1990,318,1990,11,14,318,33,27, M, T, T,3,35,0,0
11/15/1990,319,1990,11,15,319,43,28, M,0,0, T,29,0,0
11/16/1990,320,1990,11,16,320,69,39, M,0,0,0,11,0,4
11/17/1990,321,1990,11,17,321,69,37, M,0.3,0,0,12,0,3
11/18/1990,322,1990,11,18,322,37,23, M, T,0,0,35,0,0
11/19/1990,323,1990,11,19,323,34,16, M,0,0,0,40,0,0
11/20/1990,324,1990,11,20,324,31,25, M,0,0,0,37,0,0
11/21/1990,325,1990,11,21,325,42,28, M,0,0,0,30,0,0
11/22/1990,326,1990,11,22,326,48,35, M,0,0,0,23,0,0
11/23/1990,327,1990,11,23,327,54,43, M,0.38,0,0,16,0,0
11/24/1990,328,1990,11,24,328,50,35, M, T,0,0,22,0,0
11/25/1990,329,1990,11,25,329,47,29, M,0,0,0,27,0,0
11/26/1990,330,1990,11,26,330,55,25, M,0,0,0,25,0,0
11/27/1990,331,1990,11,27,331,47,29, M,0.01,0,0,27,0,0
11/28/1990,332,1990,11,28,332,58,46, M, T,0,0,13,0,2
11/29/1990,333,1990,11,29,333,71,37, M, T,0,0,11,0,4
11/30/1990,334,1990,11,30,334,40,28, M, T, T,0,31,0,0
12/1/1990,335,1990,12,1,335,39,29, M,0,0,0,31,0,0
12/2/1990,336,1990,12,2,336,49,38, M,0,0,0,21,0,0
12/3/1990,337,1990,12,3,337,45,22, M,0,0,0,31,0,0
12/4/1990,338,1990,12,4,338,52,29, M,1.2,4.3,0,24,0,0
12/5/1990,339,1990,12,5,339,45,23, M, T, T, T,31,0,0
12/6/1990,340,1990,12,6,340,31,22, M,0,0,0,38,0,0
12/7/1990,341,1990,12,7,341,36,30, M,0,0,0,32,0,0
12/8/1990,342,1990,12,8,342,38,26, M,0,0,0,33,0,0
12/9/1990,343,1990,12,9,343,42,31, M,0,0,0,28,0,0
12/10/1990,344,1990,12,10,344,47,33, M,0,0,0,25,0,0
12/11/1990,345,1990,12,11,345,44,19, M,0,0,0,33,0,0
12/12/1990,346,1990,12,12,346,30,21, M, T,0.2, T,39,0,0
12/13/1990,347,1990,12,13,347,51,29, M, T,0,0,25,0,0
12/14/1990,348,1990,12,14,348,51,17, M,0.04,0.5,1,31,0,0
12/15/1990,349,1990,12,15,349,30,17, M,0,0, T,41,0,0
12/16/1990,350,1990,12,16,350,39,29, M,0.3,0.5,0,31,0,0
12/17/1990,351,1990,12,17,351,37,30, M,0.06, T,0,31,0,0
12/18/1990,352,1990,12,18,352,39,30, M,0.13,0,0,30,0,0
12/19/1990,353,1990,12,19,353,42,37, M,0.57,0,0,25,0,0
12/20/1990,354,1990,12,20,354,41,19, M,0,0,0,35,0,0
12/21/1990,355,1990,12,21,355,41,21, M, T,0,0,34,0,0
12/22/1990,356,1990,12,22,356,54,40, M,0.23,0,0,18,0,0
12/23/1990,357,1990,12,23,357,59,39, M,0.37,0,0,16,0,0
12/24/1990,358,1990,12,24,358,40,27, M,0.91,0.3, T,31,0,0
12/25/1990,359,1990,12,25,359,28,10, M, T, T, T,46,0,0
12/26/1990,360,1990,12,26,360,26,11, M,0.01,0.4,1,46,0,0
12/27/1990,361,1990,12,27,361,22,6, M, T, T,1,51,0,0
12/28/1990,362,1990,12,28,362,22,9, M,0.2,2.7,3,49,0,0
12/29/1990,363,1990,12,29,363,39,21, M,0,0,1,35,0,0
12/30/1990,364,1990,12,30,364,51,38, M,0.25,0,0,20,0,0
12/31/1990,365,1990,12,31,365,54,19, M,0.58,1.1,1,28,0,0
1/1/1991,366,1991,1,1,1,24,14, M, T,0.2,1,46,0,0
1/2/1991,367,1991,1,2,2,31,16, M,0,0,1,41,0,0
1/3/1991,368,1991,1,3,3,39,21, M,0.01,0.3, T,35,0,0
1/4/1991,369,1991,1,4,4,28,12, M, T, T, T,45,0,0
1/5/1991,370,1991,1,5,5,29,10, M,0,0, T,45,0,0
1/6/1991,371,1991,1,6,6,34,19, M,0.02,0.2, T,38,0,0
1/7/1991,372,1991,1,7,7,30,21, M,0.01,0.2, T,39,0,0
1/8/1991,373,1991,1,8,8,23,1, M, T,0.1, T,53,0,0
