Year,ID,Name,NestName,Sex,LifeStage,Population,Species,CalcAge,Age,BillWidth,BillDepth,Head,Tarsus,Manus,WingChord,SeventhPrimary,Tail Length,Weight,BillNT,TEC,Skull,Remarks
2002,1-l MNDY02,1-l,MNDY02,M,nestling,Ithaca,Corvus brachyrhynchos,10,10,12.2,9.9,52.2,33.4,33.8,35,5,0,160,12.6,20.2,32,
2002,2-f MNDY02,2-f,MNDY02,M,nestling,Ithaca,Corvus brachyrhynchos,10,10,13,10.1,49.3,31,29.5,32,3,0,142,12.5,18,31.3,
2002,3-b MNDY02,3-b,MNDY02,F,nestling,Ithaca,Corvus brachyrhynchos,10,10,11.1,10.4,47.6,29.5,27.4,31,3,0,125,11.5,17.4,30.2,little yellow tinge
2002,4-w MNDY02,4-w,MNDY02,F,nestling,Ithaca,Corvus brachyrhynchos,9,9,10.1,9.2,41.9,22.3,22.6,24,2,0,110,9.7,15.8,26.1,
2002,5-y MNDY02,5-y,MNDY02,M,nestling,Ithaca,Corvus brachyrhynchos,9,9,11.9,10.1,45.2,27.4,25.8,28,2,0,124,11.2,17.2,28,
2002,1-w WKAY02,1-w,WKAY02,F,nestling,Ithaca,Corvus brachyrhynchos,5,5,9.7,8.8,38.6,20.8,19.8,22,1,0,65,9.1,14.8,23.8,pretty yellow
2002,2-b WKAY02,2-b,WKAY02,F,nestling,Ithaca,Corvus brachyrhynchos,5,5,10,8.8,39,20,20,21,1,0,60,8.5,13.3,25.7,a bit yellow
2002,3- WKAY02,3-,WKAY02,M,nestling,Ithaca,Corvus brachyrhynchos,5,5,7.6,7.2,33,16,15.3,16,0,0,40,7.2,12.6,20.4,a little yellow and flacid
2002,4- WKAY02,4-,WKAY02,M,nestling,Ithaca,Corvus brachyrhynchos,5,5,8.5,7.9,35.7,15.8,15.8,16,0,0,45,7.9,13,22.7,a little yellow and flacid
2002,1-f NEWC02,1-f,NEWC02,M,nestling,Ithaca,Corvus brachyrhynchos,7,7,11.1,9.5,42.8,23.6,23.8,25,1,1,80,10.3,17.7,25.1,yellow tinge
2002,2-o NEWC02,2-o,NEWC02,F,nestling,Ithaca,Corvus brachyrhynchos,7,7,10.9,10.1,44.6,24.2,24.4,27,1,0,100,11.2,16.7,27.9,yellow tinge
2002,1F NEEL02,1F,NEEL02,F,nestling,Ithaca,Corvus brachyrhynchos,13,13,11.2,10.8,55.3,36.2,38.4,42,7,1,164,14.5,23.4,31.9,yellow tinge
2002,2G NEEL02,2G,NEEL02,M,nestling,Ithaca,Corvus brachyrhynchos,13,13,12,11.1,57.8,41.2,44.2,50,11,2,207,15.2,24.5,33.3,yellow tinge
2002,3H NEEL02,3H,NEEL02,F,nestling,Ithaca,Corvus brachyrhynchos,13,13,11,10.2,47.7,28.4,28.2,31,3,0,108,11.7,19,28.7,yellow tinge
2002,0E NEEL02,0E,NEEL02,M,nestling,Ithaca,Corvus brachyrhynchos,13,13,12.7,11.7,58,39.8,40.8,48,12,2,184,15.3,25,33,yellow tinge
2002,8B BRTN02,8B,BRTN02,M,nestling,Ithaca,Corvus brachyrhynchos,4,4,7.7,6.6,32,14.8,14.5,16,0,0,30,7.4,12.1,19.9,
2002,0Y BRTN02,0Y,BRTN02,F,nestling,Ithaca,Corvus brachyrhynchos,5,5,9.5,9,39.2,21.7,18.6,22,0,0,60,9.2,15.3,23.9,
2002,7A BRTN02,7A,BRTN02,F,nestling,Ithaca,Corvus brachyrhynchos,5,5,8.9,8.3,37.3,20,18.3,19,0,0,46,8.6,13.8,23.5,slightly flacid; Found dead by DAR on 1 June 2002 w/ radio harness wrapped around neck & shrub
2002,1Z BRTN02,1Z,BRTN02,F,nestling,Ithaca,Corvus brachyrhynchos,5,5,10,8.5,39.2,21,19.2,22,0,0,56,8.7,15.4,23.8,slightly flacid
2002,6K DBAR02,6K,DBAR02,M,nestling,Ithaca,Corvus brachyrhynchos,14,14,13.8,12.8,58.7,42.6,47.8,56,18,4,252,14.2,23.2,35.5,"slight yellow tinge, slightly flacid"
2002,4I DBAR02,4I,DBAR02,F,nestling,Ithaca,Corvus brachyrhynchos,14,14,11.8,10.1,59,43.6,48,55,18,4,238,13.9,22,37,yellow tinge
2002,5J DBAR02,5J,DBAR02,M,nestling,Ithaca,Corvus brachyrhynchos,14,14,12.4,11.4,54.8,40.1,36.4,40,6,1,180,13.2,21.7,33.1,
2002,1-w JEWL02,1-w,JEWL02,M,nestling,Ithaca,Corvus brachyrhynchos,13,13,10.8,10.6,50.1,32.5,33.5,36,5,0,125,13.6,21,29.1,
2002,3R JEWL02,3R,JEWL02,F,nestling,Ithaca,Corvus brachyrhynchos,14,14,12.4,11.4,58.6,40.1,45.4,54,14,2,190,14.9,23,35.6,a little flacid
2002,0O JEWL02,0O,JEWL02,M,nestling,Ithaca,Corvus brachyrhynchos,14,14,12.6,10.8,61.5,45.4,50.2,59,15,5,235,16.3,25.8,35.7,a little flacid
2002,1P JEWL02,1P,JEWL02,F,nestling,Ithaca,Corvus brachyrhynchos,14,14,10.4,9.8,59.4,43.3,47.5,55,15,3,220,15.1,23.2,36.2,a little flacid
2002,2Q JEWL02,2Q,JEWL02,F,nestling,Ithaca,Corvus brachyrhynchos,14,14,11.3,11.5,60.7,41.6,45.7,54,13,4,225,16,24.2,36.5,louse
2002,8W DRIN02,8W,DRIN02,F,nestling,Ithaca,Corvus brachyrhynchos,8,8,9.4,9.1,39.4,22,19.6,21,0,0,52,8.9,14.1,25.3,slight yellow tinge
2002,7V DRIN02,7V,DRIN02,F,nestling,Ithaca,Corvus brachyrhynchos,8,8,10.5,9.3,42.7,23.3,23.4,25,1,0,72,10,16.8,25.9,slight yellow tinge
2002,9X DRIN02,9X,DRIN02,F,nestling,Ithaca,Corvus brachyrhynchos,8,8,11.4,9.9,46.4,28.4,25.9,29,1,0,89,10.9,17.7,28.7,slight yellow tinge
2002,6U DRIN02,6U,DRIN02,F,nestling,Ithaca,Corvus brachyrhynchos,8,8,11.2,10.2,46.4,26.5,26,29,1,0,92,10.9,17.8,28.6,slight yellow tinge
2002,FFW-S DRIN02,FFW-S,DRIN02,F,nestling,Ithaca,Corvus brachyrhynchos,8,8,8.4,7.2,32.2,15.2,15.3,17,0,0,22,6.8,11.8,20.4,slight yellow tinge; a little flacid
2002,2H EOCR02,2H,EOCR02,M,nestling,Ithaca,Corvus brachyrhynchos,25,25,14.1,14,77.7,63.6,,151,93,50,487,22.3,36,41.7,a few blood spots
2002,3I EOCR02,3I,EOCR02,M,nestling,Ithaca,Corvus brachyrhynchos,25,25,13.4,13.2,77.4,63,,142,88,41,460,22.4,36.1,41.3,"one blood spot; 3 strong, 3 mod 1 light hb"
2002,4J EOCR02,4J,EOCR02,M,nestling,Ithaca,Corvus brachyrhynchos,25,25,13.8,13.6,74.5,61.2,,140,84,42,448,20.9,33.7,40.8,"some blood spots; two strong , 1 mod, 2 light hb"
2002,5K EOCR02,5K,EOCR02,F,nestling,Ithaca,Corvus brachyrhynchos,25,25,13.2,13.6,73.6,60.4,,131,77,35,395,20.6,35,38.6,"blood spots; two strong, two mod hb"
2002,6L EOCR02,6L,EOCR02,M,nestling,Ithaca,Corvus brachyrhynchos,24,25,13.6,13.2,72.7,61.7,,121,71,30,410,21.4,32.7,40,"no blood spots; three strong, 1 light"
2002,2-o NEWC02,2-o,NEWC02,F,nestling,Ithaca,Corvus brachyrhynchos,16,16,11.6,12.7,67.9,51.9,57.1,92,44,14,327,17.7,25.6,42.3,"dead below nest, no sign of violence"
2002,7M SWPG02,7M,SWPG02,F,nestling,Ithaca,Corvus brachyrhynchos,27,27,11.4,11.8,76.4,59.3,,175,120,66,387,22,33.4,43,"several unpigmented toes; blood spots on belly; 3 strong, 3 moderate, 1 light hunger bar; DAR added Age based on RSH thesis age equations"
2002,8N SWPG02,8N,SWPG02,F,nestling,Ithaca,Corvus brachyrhynchos,26,26,12.7,11.9,74.9,60.2,,163,100,53,430,20.9,32,42.9,"blood spots on belly, some unpigmented toes; 3 strong, 1 moderate, 1 light hunger bar; DAR added Age based on RSH thesis age equations"
2002,9O SWPG02,9O,SWPG02,F,nestling,Ithaca,Corvus brachyrhynchos,26,26,13.1,13.1,75.3,61.7,,172,110,63,412,22.1,35.6,39.7,"blood spots on belly; normally pigmented toes; 1 strong, 2 moderate, 1 light hunger bars; yellow edge to gape; DAR added Age based on RSH thesis age equations"
2002,6A CCLI02,6A,CCLI02,M,nestling,Ithaca,Corvus brachyrhynchos,27,27,12.6,13,77.6,59.2,,193,131,72,403,28.8,36,41.6,"explosive fledge; 2 moderate, 3 light hunger bars; blood spots on belly; DAR added Age based on RSH thesis age equations"
2002,7B CCLI02,7B,CCLI02,M,nestling,Ithaca,Corvus brachyrhynchos,28,28,11.6,13.1,78.6,60.3,,200,138,80,425,22.1,35.8,42.8,many blood spots on belly; 9 light hunger bars; DAR added Age based on RSH thesis age equations
2002,9D CCLI02,9D,CCLI02,M,nestling,Ithaca,Corvus brachyrhynchos,26,26,11.5,11.2,70.7,57.6,,164,109,45,320,19,29.8,40.9,"blood spots on belly; 1 strong, 3 moderate, 2 light; DAR added Age based on RSH thesis age equations"
2002,0E NEEL02,0E,NEEL02,M,nestling,Ithaca,Corvus brachyrhynchos,26,27,12.4,13.1,77.4,58.4,,170,110,63,410,22.7,35.4,42,"no bood spots, fat belly; 4 strong, 1 moderate, 1 light"
2002,1F NEEL02,1F,NEEL02,F,nestling,Ithaca,Corvus brachyrhynchos,26,27,12.3,11.7,72.7,54.5,,151,101,54,370,21.5,32.4,40.3,"fat belly; 4 strong, 1 moderate, 1 light hunger bar, no blood spots"
2002,2G NEEL02,2G,NEEL02,M,nestling,Ithaca,Corvus brachyrhynchos,26,27,11.8,12,76.9,60,,164,109,57,385,22,33.5,43.4,"belly not as full as others; no blood spots; 2 strong, 2 light hunger bars"
2002,3H NEEL02,3H,NEEL02,F,nestling,Ithaca,Corvus brachyrhynchos,25,27,11.9,11.4,68.6,51.4,,128,76,34,285,18.2,29.6,39,runt; yellow on edges of gape; 4 strong hunger bars
2002,4I DBAR02,4I,DBAR02,F,nestling,Ithaca,Corvus brachyrhynchos,27,29,12.4,12.1,75.8,62.9,,183,129,70,402,21.4,33.6,42.2,"lots of blood spots on belly; 2 strong, 1 moderate, 1 light hunger bar"
2002,5J DBAR02,5J,DBAR02,M,nestling,Ithaca,Corvus brachyrhynchos,26,29,13.2,13.1,78.6,61.2,,170,118,62,435,22,35.4,43.2,"blood spots on belly; 2 strong, 1 moderate, 3 light hunger bars"
2002,6K DBAR02,6K,DBAR02,M,nestling,Ithaca,Corvus brachyrhynchos,28,29,12.5,12.4,78.9,62.2,,188,131,81,417,21.6,34.2,44.7,"lots of blood spots; 2 strong, 3 light hunger bats"
2002,7L MART02,7L,MART02,F,nestling,Ithaca,Corvus brachyrhynchos,27,27,12.8,11.9,75.8,61.1,,177,115,68,380,21.2,34,41.8,"1 blood spot; 1 strong, 1 moderate, 1 light hunger bar; DAR added Age based on RSH thesis age equations"
2002,8M MART02,8M,MART02,M,nestling,Ithaca,Corvus brachyrhynchos,27,27,14.3,14.1,83.6,64.6,,193,129,78,478,24.8,38.9,44.7,"lots of blood spots; 6 strong, 1 moderate, 2 light hunger bars; DAR added Age based on RSH thesis age equations"
2002,9N MART02,9N,MART02,F,nestling,Ithaca,Corvus brachyrhynchos,27,27,13.9,13,78,60.4,,188,127,77,398,23.2,35.1,42.9,0 hunger bars; blood spots; DAR added Age based on RSH thesis age equations
2002,0O JEWL02,0O,JEWL02,M,nestling,Ithaca,Corvus brachyrhynchos,26,27,12.2,11.5,76.3,59.6,,170,109,63,395,22.5,35.3,41,"couple of blood spots on belly; 2 strong, 2 light, no moderate hunger bars"
2002,1P JEWL02,1P,JEWL02,F,nestling,Ithaca,Corvus brachyrhynchos,26,27,11.5,11.6,74.2,59.3,,163,112,48,365,20.5,32.4,41.8,"blood spots on belly; 3 strong, 2 moderate, 3 light hunger bars"
2002,2Q JEWL02,2Q,JEWL02,F,nestling,Ithaca,Corvus brachyrhynchos,26,27,10.6,11.7,74.6,59.6,,166,109,69,345,21.4,34,40.6,"blood spots on belly; 5 strong, 2 light hunger  bars"
2002,3R JEWL02,3R,JEWL02,F,nestling,Ithaca,Corvus brachyrhynchos,25,27,11.8,10.7,72.5,58.6,,152,99,44,298,20.7,32.8,39.7,"blood spots on belly; 4 strong, 1 moderate, 0 light hunger bars"
2002,4S BLAC02,4S,BLAC02,M,nestling,Ithaca,Corvus brachyrhynchos,29,28,13.3,14.2,82.6,60.6,,212,143,98,418,24.5,38.4,44.2,"Explosive fledge, lots of blood spots on belly; torn Right halux from jumping; 7 strong, 1 moderate, 1 light hunger bar; yellow tinge to gape; DAR added Age based on RSH thesis age equations"
2002,5T BLAC02,5T,BLAC02,M,nestling,Ithaca,Corvus brachyrhynchos,29,29,12.6,13.2,81.9,60.3,,215,153,98,425,24.3,39.8,42.1,"bony growth on inside of R ankle joint; explosive fledge; distinct yellow tinge to gape and underside of patagia; lots of blood spots on belly; 5 strong, 2 moderate, 1 light hunger bar; DAR added Age based on RSH thesis age equations"
2002,6U DRIN02,6U,DRIN02,F,nestling,Ithaca,Corvus brachyrhynchos,25,25,13.1,11.7,73.8,58.8,,155,92,46.5,398,20.4,30.7,43.1,"very few (3-4) blood spots on belly; 2 moderate, 1 light hunger bars"
2002,7V DRIN02,7V,DRIN02,F,nestling,Ithaca,Corvus brachyrhynchos,25,25,13.3,12.5,71.3,58,,152,97,47,390,20.4,28.7,42.6,no blood spots; 1 moderate hunger bar
2002,8W DRIN02,8W,DRIN02,F,nestling,Ithaca,Corvus brachyrhynchos,25,25,12.1,12.2,72.4,56.6,,154,88,45,388,21,29.7,42.7,"no blood spots; 1 strong, 2 moderate, 1 light hunger bars"
2002,9X DRIN02,9X,DRIN02,F,nestling,Ithaca,Corvus brachyrhynchos,25,25,11.8,12.2,73.7,57.2,,150,87,37,368,21,28.5,45.2,"no blood spots; (3 strong, 1 moderate) (1 strong, 1 light) - took readings from 2 feathers"
2002,FFW-S DRIN02,FFW-S,DRIN02,F,nestling,Ithaca,Corvus brachyrhynchos,24,25,10.4,10.5,67.3,55.1,,110,44,12,300,17.7,30.1,37.2,"runt; no blood spots, slight bruising; very little feather to check but 1 strong, 1 light hunger bars; 1 louse; 3rd toe nail on L foot is just beginning to emerge.; DAR recovered bird dead on 7/22/2002"
2002,0Y BRTN02,0Y,BRTN02,F,nestling,Ithaca,Corvus brachyrhynchos,26,26,11.6,12.8,75.3,61,,180,118,68,380,21.7,34.8,40.5,no blood spots; 3 moderate hunger bars
2002,1Z BRTN02,1Z,BRTN02,F,nestling,Ithaca,Corvus brachyrhynchos,26,26,11.8,13,76.2,61,,168,108,64,395,21.9,35.1,41.1,"no blood spots; 3 strong, 1 moderate, 1 light hunger bar"
2002,7A BRTN02,7A,BRTN02,F,nestling,Ithaca,Corvus brachyrhynchos,26,26,12.3,12.2,71,54.6,,151,94,41,338,20.6,32,39,"no blood spots; 2 strong, 2 moderate, 2 light"
2002,8B BRTN02,8B,BRTN02,M,nestling,Ithaca,Corvus brachyrhynchos,25,25,11.4,11.9,72.7,57.2,,127,69,25,343,20.4,32.9,39.8,"no blood spots on belly, but blood spots on wing; 4 strong, 1 light hunger bars"
2002,9C CCPL02,9C,CCPL02,F,nestling,Ithaca,Corvus brachyrhynchos,29,29,13.1,13.4,83.5,59.6,,214,151,96,407,26.4,39,44.5,"explosive fledge; no blood spots; 4 strong, 7 light hunger bars; DAR added Age based on RSH thesis age equations"
2002,0D CCPL02,0D,CCPL02,M,nestling,Ithaca,Corvus brachyrhynchos,29,28,13.6,13.1,84.2,62.8,,211,148,93,410,25.2,29.5,54.7,"explosive fledge; blood spots on belly; 5 strong, 2 moderate, 1 light hunger bars; DAR added Age based on RSH thesis age equations"
2002,1E CCPL02,1E,CCPL02,M,nestling,Ithaca,Corvus brachyrhynchos,29,28,14,14.1,82.4,61.6,,219,145,90,422,25.2,39.4,43,"explosive fledge; a few blood spots on belly; 5 strong, 2 moderate, 1 light; DAR added Age based on RSH thesis age equations"
2002,2F CCPL02,2F,CCPL02,M,nestling,Ithaca,Corvus brachyrhynchos,27,27,13.4,13.7,83.7,61.6,,190,130,66,428,25.7,40.3,43.4,"explosive fledge; no blood spots on belly, 7 strong, 2 moderate, 5 light; DAR added Age based on RSH thesis age equations"
2002,3G BISA02,3G,BISA02,F,nestling,Ithaca,Corvus brachyrhynchos,29,29,13.1,12.5,77,56.1,,208,150,98,330,23.5,35.1,41.9,"fledged, probably explosive;blood spots on the belly; 5 moderate, 3 light hunger bars; DAR added Age based on RSH thesis age equations"
2002,2 BISA02,2,BISA02,F,nestling,Ithaca,Corvus brachyrhynchos,26,25,,,,,,,144,,,,,,"found dead half way down the tree, missing head, legs, part insides; 2 moderate, 1 light hungerbar; DAR added Age based on RSH thesis age equations"
2002,4H LANS02,4H,LANS02,M,nestling,Ithaca,Corvus brachyrhynchos,26,27,12.9,12.5,79.7,62.6,,171,113,65,432,22.5,35.8,43.9,"a few blood spots on belly; 3 strong, 3 moderate, 1 light hunger bar; DAR added Age based on RSH thesis age equations"
2002,5I LANS02,5I,LANS02,M,nestling,Ithaca,Corvus brachyrhynchos,26,26,12.2,12.4,77.4,60.4,,168,112,57,426,22.3,34.4,43,"no blood spots; 4 strong, 1 moderate, 1 light hunger bars; DAR added Age based on RSH thesis age equations"
2002,6J LANS02,6J,LANS02,M,nestling,Ithaca,Corvus brachyrhynchos,26,26,12.9,12.4,79.5,60.2,,172,112,55,400,23.2,36.1,43.4,"no blood spots; 4 strong, 1 moderate, 1 light hunger bars; DAR added Age based on RSH thesis age equations"
2002,7K LANS02,7K,LANS02,F,nestling,Ithaca,Corvus brachyrhynchos,25,25,12.4,12,72.5,56.1,,143,88,42,362,20.3,31.1,41.4,"no blood spots; 3 strong, 3 light hunger bars; DAR added Age based on RSH thesis age equations"
2002,9M ALOT02,9M,ALOT02,M,nestling,Ithaca,Corvus brachyrhynchos,24,24,14.2,12.8,75,58.9,,129,69,24,400,21,35.2,39.8,"no blood spots; 1 moderate, 2 light hunger bars; DAR added Age based on RSH thesis age equations"
2002,8V ALOT02,8V,ALOT02,M,nestling,Ithaca,Corvus brachyrhynchos,23,23,12.4,11.1,66.3,52.9,,90,40,8,262,18.8,30.2,36.1,"runt; no blood spots, 3 light hunger bars; lice; DAR added Age based on RSH thesis age equations"
2002,0N WARO02,0N,WARO02,M,nestling,Ithaca,Corvus brachyrhynchos,27,27,12.4,13,78.2,58.1,,190,128,74,425,22,34.6,43.6,"explosive fledge; 1 strong, 5 light hunger bars; weezing; DAR found newly dead on 6/8/2002"
2002,1O ORHA02,1O,ORHA02,M,nestling,Ithaca,Corvus brachyrhynchos,28,28,14,14.2,82.6,62.1,,204,141,90,467,24.6,37.2,45.4,"explosive fledge; few blood spots on belly; 1 strong, 1 moderate, 1 light hunger bar; DAR added Age based on RSH thesis age equations"
2002,2P ORHA02,2P,ORHA02,M,nestling,Ithaca,Corvus brachyrhynchos,26,26,13.1,12.5,77.1,55.8,,166,110,53,320,21.4,34.4,42.7,"explosive fledge; few blood spots; 1 strong, 5 moderate, 5 light hunger bars; DAR added Age based on RSH thesis age equations"
2002,3Q VETS02,3Q,VETS02,M,nestling,Ithaca,Corvus brachyrhynchos,26,26,12.6,11.8,72.8,56.6,,155,103,50,295,19.8,31.6,41.2,"no blood spots; 2 strong, 1 moderate, 5 light hunger bars; DAR added Age based on RSH thesis age equations"
2002,4R VETS02,4R,VETS02,F,nestling,Ithaca,Corvus brachyrhynchos,24,24,11.7,10.2,68,50.3,,124,74,31,200,18.8,30.1,37.9,"few blood spots; 3 strong, 1 moderate, 3 light hunger bars; DAR added Age based on RSH thesis age equations"
2002,5S PGLN02,5S,PGLN02,F,nestling,Ithaca,Corvus brachyrhynchos,,,13.4,14.3,82.9,59,,218,158,103,397,25.2,39.4,43.5,"fledgling; 5 strong, 2 moderate, 2 light hunger bars;blood spots on belly"
2002,1O ORHA02,1O,ORHA02,M,nestling,Ithaca,Corvus brachyrhynchos,35,35,12.6,15.4,86,61.5,,234,173,120,427,26.7,41.6,44.4,"found dead on ground; body recovered in good shape, "
2002,6T STAD02,6T,STAD02,F,nestling,Ithaca,Corvus brachyrhynchos,26,26,11.2,11.9,70.1,51.9,,161,109,53,270,20.9,33.6,36.5,"lots of blood spots on belly; 1 strong, 1 moderate, 5 light hunger bars; DAR added Age based on RSH thesis age equations"
2002,7U STAD02,7U,STAD02,F,nestling,Ithaca,Corvus brachyrhynchos,26,26,12,11.6,73.5,55,,161,109,55,290,21.4,33.8,39.7,"lots of blood spots on belly; 5 strong, 3 light hunger bars; DAR added Age based on RSH thesis age equations"
2002,8V ALOT02,8V,ALOT02,M,nestling,Ithaca,Corvus brachyrhynchos,41,41,13,13.6,81,60.8,,212,153,98,393,25.1,38.8,42.2,fledgling found on ground
2002,9W HAPA02,9W,HAPA02,M,nestling,Ithaca,Corvus brachyrhynchos,25,24,11.7,11.8,72.1,56,,136,80,26,318,21,34.5,37.6,"obstruction on right ear; no pigment on most toes; 4 strong, 3 moderate hunger bars; DAR added Age based on RSH thesis age equations"
2002,0X HAPA02,0X,HAPA02,M,nestling,Ithaca,Corvus brachyrhynchos,25,25,11.9,12.3,73.5,58.5,,143,90,30,342,21.1,33.7,39.8,"4 strong, 1 moderate, hunger bars; DAR added Age based on RSH thesis age equations"
2002,1Y HAPA02,1Y,HAPA02,M,nestling,Ithaca,Corvus brachyrhynchos,25,25,12,12.2,73.4,59.2,,140,83,35,338,21.6,35,38.4,"2 strong, 2 moderate hunger bars; DAR added Age based on RSH thesis age equations"
2002,2Z HAPA02,2Z,HAPA02,F,nestling,Ithaca,Corvus brachyrhynchos,25,25,11.8,12.2,71.2,55.5,,144,84,40,342,21.4,33,38.2,"claws on left foot lack pigment; 2 strong, 3 moderate, 2 light hunger bars; DAR added Age based on RSH thesis age equations"
2002,8A FERG02,8A,FERG02,F,nestling,Ithaca,Corvus brachyrhynchos,29,29,12.5,12.5,79.9,58.2,,213,152,98,390,23.6,37.4,42.5,"blood spots on belly; yellow tinge to gape; 3 strong, 3 moderate, 5 light hunger bars; DAR added Age based on RSH thesis age equations"
2002,9B FERG02,9B,FERG02,M,nestling,Ithaca,Corvus brachyrhynchos,29,28,14.2,13.5,84,61.3,,217,150,89,420,25.7,38.9,45.1,"blood spots on belly; 4 strong, 5 moderate, 2 light hunger bars; DAR added Age based on RSH thesis age equations"
2002,0C FERG02,0C,FERG02,M,nestling,Ithaca,Corvus brachyrhynchos,27,27,13.7,12.9,78.1,58.2,,187,125,66,382,23.6,37,41.1,"blood spots on belly; 3 strong, 4 medium, 5 light hunger bars; DAR added Age based on RSH thesis age equations"
2002,1D WKA202,1D,WKA202,F,nestling,Ithaca,Corvus brachyrhynchos,27,27,11.4,13.4,78,58.6,,178,122,67,365,24.6,38.6,39.4,"explosive fledge; lots of blood spots on belly; 7 strong, 2 light hunger bars; DAR added Age based on RSH thesis age equations"
2002,2E WKA202,2E,WKA202,M,nestling,Ithaca,Corvus brachyrhynchos,26,26,12.4,13.3,80.6,61.3,,168,109,60,410,24.9,38.3,42.3,"explosive fledge; blood spots on belly; 8 strong, 1 moderate hunger bars; DAR added Age based on RSH thesis age equations"
2002,3F WKA202,3F,WKA202,F,nestling,Ithaca,Corvus brachyrhynchos,26,27,11.4,12.4,77.9,58.9,,174,116,63,384,23.3,37,40.9,"blood spots on belly; 5 strong, 4 moderate hunger bars; DAR added Age based on RSH thesis age equations"
2002,4G WKA202,4G,WKA202,F,nestling,Ithaca,Corvus brachyrhynchos,25,25,12.2,11.6,74,55.7,,154,99,41,308,22.7,35.5,38.5,"blood spots on belly; 3 strong, 4 light hunger bars; DAR added Age based on RSH thesis age equations"
2002,5H SIS202,5H,SIS202,F,nestling,Ithaca,Corvus brachyrhynchos,26,26,11.9,12.2,76.6,59.6,,163,105,58,398,23.6,37.2,39.4,"blood spots on belly; 3 strong, 3 moderate, 2 light hunger bars; DAR added Age based on RSH thesis age equations"
2002,6I SIS202,6I,SIS202,M,nestling,Ithaca,Corvus brachyrhynchos,25,26,12.4,12.5,77.3,58.9,,155,99,47,385,23.2,36.6,40.7,"blood spots on belly; 1 strong, 3 moderate, 4 light hunger bars; DAR added Age based on RSH thesis age equations"
2002,7J SIS202,7J,SIS202,F,nestling,Ithaca,Corvus brachyrhynchos,24,24,11.1,11.3,69.1,53.8,,125,73,25,272,19.4,31.4,37.7,"injury on belly (healed puncture/bite mark), blood spots on belly; 4 light hunger bars; DAR added Age based on RSH thesis age equations"
