nestlingMeasurementID,year,population,species,lifeStage,id,age,nest,nestName,sexSummary,tarsus,sevenPrimary,tailLength,calcAge,billNT,billD,billW,TEC,head,skull,wingChord,exp7Primary,weight,measureNumber,measurmentDate,measurementJulDate,hatchDate,hatchDateJul,bandDate,bandingDate,bandDateJul,deathDate,currentBroodSize,nestlingBroodSize,bandedBroodSize,familyProducedBreeder,remarks,trueAlias,name,conditionRank,climb2x,bandMatch,Measured =<7 days (1) or >7 (2),deathDateBin,recruitmentRankData,Breeding attempt info::Renest?,withinBroodSizeRank,earlyBroodRanking,bandlingBroodRank,Young Rank dataset,flag,Dummy 2,Dummy 3,Breeder paper?,Helper paper?,PCA size,PCA condition,ID_2,Sex (#),Row #,Explosive fledge?,Weight (cube rt),Largest/smallest nestling (1/2; banding),tarsus,Breeder Data 3::Sex,Sexing Information::Sex,Alive_Sum_0,Alive_Fall_0,Alive_Winter_0,Alive_Spring_1,Survived to banding?,Survived to banding dataset,Explosive fledge death?,Alive@2 yrs,Age at last sighting,Breeding attempt info::Nesting Success,Shot?,tailSquared,bandNumber,Radio?,Radio harness-related death?,Radio harness in mouth?,WNV-related/suspected death?,ageDiff,ageAtDeath,colorBands,initialClimbDate,radioFreq,bloodTube,Blood spots on Belly,Nestling hunger bar data::Extreme Hunger bar count,Nestling hunger bar data::Moderate Hunger bar count,Nestling hunger bar data::Strong Hunger bar count,7PrimaryRatio,Nestling hunger bar data::Weak Hunger bar count,Nestling hunger bar data::Total Hunger bar count,manus,mouthColor,condition,Nest_Site_Information::# Nestlings,Nest_Site_Information::# Bandlings,ageGroup,Breeding attempt info::Group Size,Nest_Site_Information::Environment,Date type,Adult measurement data::Nestling data?,Breeding attempt info::Highest (Hist) Age,Nest_Site_Information::Environment_RSH,Nest_Site_Information::Environment Summary,7PrimarySquared,Alive@60,Alive@120,Alive@1 yr,Future breeder?,Tail_Length_exposed,lifeStageID,WtTarsusIndex,jDay,vetReference,location
1015,1989,Ithaca,AMCR,nestling,WSBW HART89,36,HART,HART89,NA,55.5,145,75,36,23.7,12.5,11.5,39.5,82.2,42.7,202,,322,5,5/30/1989,150,4/24/1989,114,5/30/1989,5/30/1989,150,,2,,2,2,"MIDDLE TOE - 35.5; RIGHT LEG BROKEN;DEAD NEXT DAY,FLEDGLING.",,WSBW,1,2,,,,,0,2,0,2,,ab,,,,,,,WSBW HART89,,11,,6.85,2,55.5,,,,,,,,,,0,-726216,,,5625,,,,,,0,,,,,,,,,,0,,,0,,0.12,,,7,,,1,,,,,21025,0,0,0,2,,nestling WSBW HART89,,,,
1016,1989,Ithaca,AMCR,nestling,YSBW HART89,36,HART,HART89,NA,57.6,160,104,36,23.9,12.4,11.5,38,78.5,40.5,212,,317,5,5/30/1989,150,4/24/1989,114,5/30/1989,5/30/1989,150,,2,,2,2,MIDDLE TOE - 35.6  ,,YSBW,2,2,,,,,0,1,0,1,,ab,,,,,,,YSBW HART89,,12,,6.82,1,57.6,,,,,,,,,,0,-726216,,,10816,695-20411,,,,,0,,,,,,,,,,0,,,0,,0.12,,,7,,,1,,,,,25600,0,0,0,2,,nestling YSBW HART89,,,,
1024,1989,Ithaca,AMCR,nestling,WSGY WSAP89,26,WSAP,WSAP89,NA,61,111,57,26.03,23.4,13.8,13.8,37.7,75,37.3,171,,403,5,,,,,,5/31/1989,,,4,,4,2,MIDDLE TOE - 40.4  ,,WSGY,2,2,,,,,0,4,0,4,,ab,,,,,,,WSGY WSAP89,,13,,7.39,2,61,,,,,,,,,,0,0,,,3249,695-20410,,,,,0.03,,,,,,,,,,0,,,0,,0.12,,,6,,,1,,,,,12321,0,0,0,2,,nestling WSGY WSAP89,,,,
1025,1989,Ithaca,AMCR,nestling,YSGY WSAP89,26,WSAP,WSAP89,NA,64.8,120,60,26.41,25.7,14.5,15.3,40,82.8,42.8,171,,453,5,,,,,,5/31/1989,,,4,,4,2,MIDDLE TOE - 39.3  ,,YSGY,4,2,,,,,0,1,0,1,,ab,,,,,,,YSGY WSAP89,,14,,7.68,1,64.8,,,,,,,,,,0,0,,,3600,695-20412,,,,,0.41,,,,,,,,,,0,,,0,,0.12,,,6,,,1,,,,,14400,0,0,0,2,,nestling YSGY WSAP89,,,,
1022,1989,Ithaca,AMCR,nestling,BSGY WSAP89,26,WSAP,WSAP89,NA,63.9,113,52,25.95,23.5,14.9,12.8,36.4,81.5,45.1,165,,448,5,5/31/1989,151,5/5/1989,125,5/31/1989,5/31/1989,151,,4,,4,2,MIDDLE TOE - 37.4  ,,BSGY,3,2,,,,,0,2,0,2,,ab,,,,,,,BSGY WSAP89,,15,,7.65,,63.9,,,,,,,,,,0,-726227,,,2704,695-20413,,,,,-0.05,,,,,,,,,,0,,,0,,0.12,,,6,,,1,,,,,12769,0,0,0,2,,nestling BSGY WSAP89,,,,
1023,1989,Ithaca,AMCR,nestling,GSGY WSAP89,26,WSAP,WSAP89,NA,61.8,114,57,26.12,22.2,13.8,13.1,37.8,78.2,40.4,167,,438,5,,,,,,5/31/1989,,,4,,4,2,MIDDLETOE - 39,,GSGY,1,2,,,,,0,3,0,3,,ab,,,,,,,GSGY WSAP89,,16,,7.59,,61.8,,,,,,,,,,0,0,,,3249,695-20414,,,,,0.12,,,,,,,,,,0,,,0,,0.12,,,6,,,1,,,,,12996,0,0,0,2,,nestling GSGY WSAP89,,,,
1020,1989,Ithaca,AMCR,nestling,GSBW SSET89,23,SSET,SSET89,NA,57.1,78,35,23,22.2,12.6,13.9,34,78.3,44.3,139,,375,5,6/5/1989,156,5/13/1989,133,6/5/1989,6/5/1989,156,,1,,1,2,MIDDLE TOE - 36.3  ,,GSBW,1,2,,,,,0,1,0,1,,ab,,,,,,,GSBW SSET89,,17,,7.21,1,57.1,,,,,,,,,,0,-726235,,,1225,695-20406,,,,,0,,,,,,,,,,0,,,59,,0.13,,,5,,,1,,,,,6084,0,0,0,2,,nestling GSBW SSET89,,,,
1026,1989,Ithaca,AMCR,nestling,WSBW WYCA89,16,WYCA,WYCA89,NA,48.2,18,6,16,16.7,11.4,12.4,25.3,67.9,42.6,67,,253,1.5,,,,,,,,,1,1,1,2,MIDDLE TOE - 32.8  ,,WSBW,1,1,1,2,,,0,,0,0,,,,,,,,,WSBW WYCA89,,18,,6.32,1,48.2,,,,,,,,,,0,0,,,36,695-20415,,,,,0,,,,,,,,,,0,,,50.7,,0.13,,,4,,,0,,,,,324,0,0,0,2,,nestling WSBW WYCA89,,,,
1019,1989,Ithaca,AMCR,nestling,WSYB MITC89,33,MITC,MITC89,NA,54,148,77,33,22.9,12.8,12.3,34.5,77.3,42.8,194,,333,5,6/7/1989,158,5/5/1989,125,6/7/1989,6/7/1989,158,,3,,3,2,"MIDDLE TOE - 33.5;F explosive fledge , FELL TO EARTH  ",,WSYB,1,2,,,,,0,3,0,3,,ab,,,,,,,WSYB MITC89,,19,1,6.93,2,54,,,,,,,,,,0,-726227,,,5929,695-20416,,,,,0,,,,,,,,,,0,,,0,,0.13,,,7,,,1,,,,,21904,0,0,0,2,,nestling WSYB MITC89,,,,
1017,1989,Ithaca,AMCR,nestling,BSYB MITC89,33,MITC,MITC89,NA,60.9,152,85,33,21.3,13.3,11,37.5,81.7,44.2,206,,373,5,6/7/1989,158,5/5/1989,125,6/7/1989,6/7/1989,158,,3,,3,2,MIDDLE TOE - 36.8; explosive fledge FLEDGLING FLEW TO TREE  ,,BSYB,3,2,,,,,0,1,0,1,,ab,,,,,,,BSYB MITC89,,20,1,7.2,1,60.9,,,,,,,,,,0,-726227,,,7225,695-20417,,,,,0,,,,,,,,,,0,,,0,,0.12,,,7,,,1,,,,,23104,0,0,0,2,,nestling BSYB MITC89,,,,
1018,1989,Ithaca,AMCR,nestling,GSYB MITC89,33,MITC,MITC89,NA,56.6,145,84,33,23.6,12.1,11.1,36.7,78.9,42.2,200,,347,5,,,,,,6/7/1989,,,3,,3,2,"middle toe - 33.6; explosive fledge; fledgling flew a long, long way and tumbled to the earth below  ",,GSYB,2,2,,,,,0,2,0,2,,ab,,,,,,,GSYB MITC89,,21,1,7.03,,56.6,,,,,,,,,,0,0,,,7056,695-20418,,,,,0,,,,,,,,,,0,,,0,,0.12,,,7,,,1,,,,,21025,0,0,0,2,,nestling GSYB MITC89,,,,
1027,1989,Ithaca,AMCR,nestling,WSBW WYCA89,32,WYCA,WYCA89,NA,61.9,128,70,32,23.4,13.7,11.7,40.1,79.3,39.2,187,,363,3,6/21/1989,172,5/20/1989,140,6/21/1989,6/21/1989,172,,1,1,1,2,MIDDLE TOE - 36.2;EXPLOSIVE FLEDGE AND RETURNED,,WSBW,1,1,1,2,,,0,1,0,1,,ab,,,,,,,WSBW WYCA89,,22,1,7.13,1,61.9,,,,,,,,,,0,-726242,,,4900,695-20415,,,,,0,,,,,,,,,,0,,,0,,0.12,,,7,,,1,,,,,16384,0,0,0,2,,nestling WSBW WYCA89,,,,
1021,1989,Ithaca,AMCR,nestling,BSBW UTIC89,25,UTIC,UTIC89,NA,60.8,98,40,25.22,22.6,13.8,14.3,34.7,77.8,43.1,154,,330,5,,,,,,6/27/1989,,,1,,1,2,MIDDLE TOE IS - 41.7.,,BSBW,1,2,,,,,0,1,0,1,,ab,,,,,,,BSBW UTIC89,,23,,6.91,1,60.8,,,,,,,,,,0,0,,,1600,695-20419,,,,,0.22,,,,,,,,,,0,,,69.3,,0.11,,,6,,,1,,,,,9604,0,0,0,2,,nestling BSBW UTIC89,,,,
1014,1989,Ithaca,AMCR,nestling,WSYY BROW89,33,BROW,BROW89,NA,60.5,158,93,33,26.2,14.4,13.9,41.1,83.8,42.7,222,,458,8,6/29/1989,180,5/27/1989,147,6/29/1989,6/29/1989,180,,1,,1,2,MIDDLE TOE - 37.5;FLEDGLING.  ,,WSYY,1,2,,,,,0,,0,,,,,,,,,,WSYY BROW89,,24,,7.71,,60.5,,,,,,,,,,0,-726249,,,8649,695-20420,,,,,0,,,,,,,,,,0,,,0,,0.13,,,7,,,1,,,,,24964,0,0,0,2,,nestling WSYY BROW89,,,,
1093,1990,Ithaca,AMCR,nestling,1 STAT90,7,STAT,STAT90,NA,32,,,7,,,,,43,43,,,,1,,,,,,,,,4,4,4,2, ,,1,0,1,,1,,,0,0,0,0,1,,,,,,,,1 STAT90,,25,,,,32,,,,,,,1,1,,0,0,N,,,,,,,,0,,,,,,,,,,,,,,,0,4,4,1,2,u,0,,N,,3.1,,0,0,0,2,,nestling 1 STAT90,,,,
1094,1990,Ithaca,AMCR,nestling,2 STAT90,7,STAT,STAT90,NA,36,,,7,,,,,47.5,47.5,,,,1,,,,,,,,,4,4,4,2, ,,2,0,1,,1,,,0,0,0,0,1,,,,,,,,2 STAT90,,26,,,1,36,,,,,,,1,1,,0,0,N,,,,,,,,0,,,,,,,,,,,,,,,0,4,4,1,2,u,0,,N,,3.1,,0,0,0,2,,nestling 2 STAT90,,,,
1095,1990,Ithaca,AMCR,nestling,3 STAT90,7,STAT,STAT90,NA,35,,,7,,,,,45,45,,,,1,,,,,,,,,4,4,4,2, ,,3,0,1,,1,,,0,0,0,0,1,,,,,,,,3 STAT90,,27,,,,35,,,,,,,1,1,,0,0,N,,,,,,,,0,,,,,,,,,,,,,,,0,4,4,1,2,u,0,,N,,3.1,,0,0,0,2,,nestling 3 STAT90,,,,
1096,1990,Ithaca,AMCR,nestling,4 STAT90,7,STAT,STAT90,NA,31,,,7,,,,,41.5,41.5,,,,1,,,,,,,,,4,4,4,2, ,,4,0,1,,1,,,0,0,0,0,1,,,,,,,,4 STAT90,,28,,,2,31,,,,,,,1,1,,0,0,N,,,,,,,,0,,,,,,,,,,,,,,,0,4,4,1,2,u,0,,N,,3.1,,0,0,0,2,,nestling 4 STAT90,,,,
1040,1990,Ithaca,AMCR,nestling,1 HART90,7,HART,HART90,NA,25.5,,,7,,,,,41.6,41.6,,,,1,,,,,,,,,4,4,4,1,Total length - 117.9  ,,1,0,1,,1,,,0,0,0,0,1,,,,,,,,1 HART90,,29,,,2,25.5,,,,,,,1,1,,0,0,Y,,,,,,,,0,,,,,,,,,,,,,,,0,4,4,1,3,u,0,,F,,3.1,,0,0,0,2,,nestling 1 HART90,,,,
1041,1990,Ithaca,AMCR,nestling,2 HART90,7,HART,HART90,NA,35.5,,,7,,,,,44.1,44.1,,,,1,,,,,,,,,4,4,4,1,Total length - 133  ,,2,0,1,,1,,,0,0,0,0,1,,,,,,,,2 HART90,,30,,,,35.5,,,,,,,1,1,,0,0,Y,,,,,,,,0,,,,,,,,,,,,,,,0,4,4,1,3,u,0,,F,,3.1,,0,0,0,2,,nestling 2 HART90,,,,
1042,1990,Ithaca,AMCR,nestling,3 HART90,7,HART,HART90,NA,36.5,,,7,,,,,48.1,48.1,,,,1,,,,,,,,,4,4,4,1,Total length - 136+  ,,3,0,1,,1,,,0,0,0,0,1,,,,,,,,3 HART90,,31,,,1,36.5,,,,,,,1,1,,0,0,Y,,,,,,,,0,,,,,,,,,,,,,,,0,4,4,1,3,u,0,,F,,3.1,,0,0,0,2,,nestling 3 HART90,,,,
1043,1990,Ithaca,AMCR,nestling,4 HART90,7,HART,HART90,NA,33,,,7,,,,,46.1,46.1,,,,1,,,,,,,,,4,4,4,1,Total length - approximately 135,,4,0,1,,1,,,0,0,0,0,1,,,,,,,,4 HART90,,32,,,,33,,,,,,,1,1,,0,0,Y,,,,,,,,0,,,,,,,,,,,,,,,0,4,4,1,3,u,0,,F,,3.1,,0,0,0,2,,nestling 4 HART90,,,,
1055,1990,Ithaca,AMCR,nestling, KELS90,3,KELS,KELS90,NA,20,0,0,3,0,0,0,0,32.2,32.2,0,,0,7,,,,,,,,,1,1,0,2,Total length - 92  ,,,1,2,,,,,0,,0,0,,,,,,,,, KELS90,,33,,0,,20,,,,,,,,,,0,0,N,,0,,,,,,0,,,,,,,,,,?,,,0,,0,5,0,1,2,r,0,,N,,2.1,0,0,0,0,2,,nestling  KELS90,,,,
1056,1990,Ithaca,AMCR,nestling,1 KNOL90,3,KNOL,KNOL90,NA,15.5,0,0,3,0,0,0,0,26.7,26.7,0,,0,1,4/24/1990,114,4/21/1990,111,,,,,4,4,4,1,Total length - 78.5  ,,1,0,1,,1,,,0,0,0,0,1,,,,,,,,1 KNOL90,,34,,0,,15.5,,,,,,,1,1,,0,-726578,Y,,0,,,,,,0,,,4/24/1990,,,,,,,?,,,0,,0,4,4,1,5,u,0,,F,,3.1,0,0,0,0,2,,nestling 1 KNOL90,,,,
1057,1990,Ithaca,AMCR,nestling,2 KNOL90,3,KNOL,KNOL90,NA,13,0,0,3,0,0,0,0,25.5,25.5,0,,0,1,4/24/1990,114,4/21/1990,111,,,,,4,4,4,1,Total length - 75.5  ,,2,0,1,,1,,,0,0,0,0,1,,,,,,,,2 KNOL90,,35,,0,2,13,,,,,,,1,1,,0,-726578,Y,,0,,,,,,0,,,4/24/1990,,,,,,,?,,,0,,0,4,4,1,5,u,0,,F,,3.1,0,0,0,0,2,,nestling 2 KNOL90,,,,
1058,1990,Ithaca,AMCR,nestling,3 KNOL90,3,KNOL,KNOL90,NA,16,0,0,3,0,0,0,0,30,30,0,,0,1,4/24/1990,114,4/21/1990,111,,,,,4,4,4,1,Total length - 87  ,,3,0,1,,1,,,0,0,0,0,1,,,,,,,,3 KNOL90,,36,,0,1,16,,,,,,,1,1,,0,-726578,Y,,0,,,,,,0,,,4/24/1990,,,,,,,?,,,0,,0,4,4,1,5,u,0,,F,,3.1,0,0,0,0,2,,nestling 3 KNOL90,,,,
1059,1990,Ithaca,AMCR,nestling,4 KNOL90,3,KNOL,KNOL90,NA,16,0,0,3,0,0,0,0,28,28,0,,0,1,4/24/1990,114,4/21/1990,111,,,,,4,4,4,1,Total length - 85  ,,4,0,1,,1,,,0,0,0,0,1,,,,,,,,4 KNOL90,,37,,0,,16,,,,,,,1,1,,0,-726578,Y,,0,,,,,,0,,,4/24/1990,,,,,,,?,,,0,,0,4,4,1,5,u,0,,F,,3.1,0,0,0,0,2,,nestling 4 KNOL90,,,,
1084,1990,Ithaca,AMCR,nestling,1 SSAP90,13,SSAP,SSAP90,NA,43.5,0,0,13,0,0,0,0,56.5,56.5,0,,0,1.5,4/26/1990,116,4/13/1990,103,,,,,5,5,4,2, ,,1,3,1,,2,,,0,,0,0,,,,,,,,,1 SSAP90,,38,,0,,43.5,,,,,,,,,,0,-726570,Y,,0,,,,,,0,,,4/26/1990,,,,,,,?,,,0,,0,5,4,3,4,,0,,F,,,0,0,0,0,2,,nestling 1 SSAP90,,,,
1085,1990,Ithaca,AMCR,nestling,2 SSAP90,13,SSAP,SSAP90,NA,43,0,0,13,0,0,0,0,63.5,63.5,0,,0,1.5,4/26/1990,116,4/13/1990,103,,,,,5,5,4,2, ,,2,3,1,,2,,,0,,0,0,,,,,,,,,2 SSAP90,,39,,0,,43,,,,,,,,,,0,-726570,Y,,0,,,,,,0,,,4/26/1990,,,,,,,?,,,0,,0,5,4,3,4,,0,,F,,,0,0,0,0,2,,nestling 2 SSAP90,,,,
1086,1990,Ithaca,AMCR,nestling,3 SSAP90,13,SSAP,SSAP90,NA,24,0,0,13,0,0,0,0,44.5,44.5,0,,0,1.5,4/26/1990,116,4/13/1990,103,,,,,5,5,4,2, ,,3,3,1,,2,,,0,,0,0,,,,,,,,,3 SSAP90,,40,,0,,24,,,,,,,,,,0,-726570,Y,,0,,,,,,0,,,4/26/1990,,,,,,,?,,,0,,0,5,4,3,4,,0,,F,,,0,0,0,0,2,,nestling 3 SSAP90,,,,
1087,1990,Ithaca,AMCR,nestling,4 SSAP90,13,SSAP,SSAP90,NA,44,0,0,13,0,0,0,0,57.5,57.5,0,,0,1.5,4/26/1990,116,4/13/1990,103,,,,,5,5,4,2, ,,4,3,1,,2,,,0,,0,0,,,,,,,,,4 SSAP90,,41,,0,,44,,,,,,,,,,0,-726570,Y,,0,,,,,,0,,,4/26/1990,,,,,,,?,,,0,,0,5,4,3,4,,0,,F,,,0,0,0,0,2,,nestling 4 SSAP90,,,,
1088,1990,Ithaca,AMCR,nestling,5 SSAP90,13,SSAP,SSAP90,NA,37,0,0,13,0,0,0,0,55.5,55.5,0,,0,1.5,4/26/1990,116,4/13/1990,103,,,,,5,5,4,2, ,,5,3,1,,2,,,0,,0,0,,,,,,,,,5 SSAP90,,42,,0,,37,,,,,,,,,,0,-726570,Y,,0,,,,,,0,,,4/26/1990,,,,,,,?,,,0,,0,5,4,3,4,,0,,F,,,0,0,0,0,2,,nestling 5 SSAP90,,,,
1105,1990,Ithaca,AMCR,nestling,1 WAIT90,9,WAIT,WAIT90,NA,36.5,0,0,9,0,0,0,0,49,49,0,,0,1.5,4/26/1990,116,4/17/1990,107,,,,,4,4,3,2, ,,1,2.5,1,,2,,,0,,0,0,,,,,,,,,1 WAIT90,,43,,0,,36.5,,,,,,,,,,0,-726574,Y,,0,,,,,,0,,,4/26/1990,,,,,,,?,,,0,,0,4,3,2,2,u,0,,F,,3.1,0,0,0,0,2,,nestling 1 WAIT90,,,,
1106,1990,Ithaca,AMCR,nestling,2 WAIT90,9,WAIT,WAIT90,NA,44,0,0,9,0,0,0,0,53,53,0,,0,1.5,4/26/1990,116,4/17/1990,107,,,,,4,4,3,2, ,,2,2.5,1,,2,,,0,,0,0,,,,,,,,,2 WAIT90,,44,,0,,44,,,,,,,,,,0,-726574,Y,,0,,,,,,0,,,4/26/1990,,,,,,,?,,,0,,0,4,3,2,2,u,0,,F,,3.1,0,0,0,0,2,,nestling 2 WAIT90,,,,
1107,1990,Ithaca,AMCR,nestling,3 WAIT90,9,WAIT,WAIT90,NA,42,0,0,9,0,0,0,0,54,54,0,,0,1.5,4/26/1990,116,4/17/1990,107,,,,,4,4,3,2, ,,3,2.5,1,,2,,,0,,0,0,,,,,,,,,3 WAIT90,,45,,0,,42,,,,,,,,,,0,-726574,Y,,0,,,,,,0,,,4/26/1990,,,,,,,?,,,0,,0,4,3,2,2,u,0,,F,,3.1,0,0,0,0,2,,nestling 3 WAIT90,,,,
